Loyalty#,Demographic_Cluster_Name
469718,High-Income East
164429,Low-Income West
708373,Low-Income East
225088,High-Income West
100214,High-Income West
459999,Low-Income East
553936,Low-Income East
268128,Low-Income East
930584,Low-Income West
327796,Low-Income East
947467,Low-Income West
743510,Low-Income West
580324,Low-Income West
845613,Low-Income East
936088,Low-Income West
423324,High-Income East
101945,High-Income East
713636,Low-Income East
302509,Low-Income West
789421,Low-Income West
914255,Low-Income East
242377,Low-Income East
404426,Low-Income West
260106,High-Income West
154643,Low-Income East
438023,Low-Income West
397518,High-Income West
645742,High-Income East
872932,Low-Income East
407945,High-Income East
211714,Low-Income West
410982,Low-Income East
905213,Low-Income West
147898,Low-Income East
530105,Low-Income East
610946,Low-Income West
383108,High-Income West
836343,High-Income East
398535,Low-Income East
585357,Low-Income East
784804,Low-Income West
715764,Low-Income West
753473,Low-Income East
980856,Low-Income East
271660,Low-Income West
377471,Low-Income West
830547,Low-Income West
264936,Low-Income West
436498,Low-Income East
976513,High-Income East
828776,Low-Income East
240362,Low-Income East
137845,High-Income West
430569,High-Income East
317001,Low-Income East
625870,Low-Income East
660554,Low-Income West
917630,Low-Income East
670686,Low-Income East
717660,Low-Income West
450621,High-Income East
939562,High-Income East
135250,High-Income East
714555,High-Income East
947868,High-Income East
573661,High-Income East
228580,Low-Income East
557500,Low-Income East
238233,High-Income East
979309,High-Income East
885497,Low-Income East
833569,Low-Income West
120046,Low-Income East
816881,Low-Income East
717700,Low-Income West
962278,Low-Income East
245465,Low-Income East
510372,Low-Income East
709920,High-Income West
143784,High-Income East
602176,High-Income East
870998,High-Income West
958224,High-Income West
837628,Low-Income West
395460,Low-Income West
136547,High-Income West
780631,High-Income East
166712,Low-Income West
217695,Low-Income East
263707,Low-Income East
638368,Low-Income East
695529,Low-Income West
871203,Low-Income East
915571,Low-Income West
642109,High-Income West
833701,Low-Income West
275442,High-Income East
374345,High-Income West
384825,High-Income East
559233,High-Income East
564650,High-Income West
277649,High-Income East
176885,High-Income West
732013,High-Income East
793318,Low-Income West
830024,Low-Income East
223684,High-Income East
723262,High-Income West
879892,High-Income East
966117,High-Income West
258358,Low-Income East
265836,High-Income East
474174,Low-Income East
474172,Low-Income East
202299,Low-Income East
497467,Low-Income East
971902,Low-Income East
134279,High-Income East
474757,High-Income East
635225,High-Income West
980198,High-Income East
995693,High-Income West
861924,Low-Income East
639383,Low-Income East
769731,Low-Income East
884530,Low-Income West
207372,High-Income West
236300,Low-Income East
543553,Low-Income East
639701,Low-Income East
998090,Low-Income West
283747,Low-Income East
863122,Low-Income East
816593,Low-Income West
440939,Low-Income West
531201,Low-Income West
585629,Low-Income East
347932,High-Income East
417886,High-Income West
514900,High-Income East
203550,Low-Income East
181825,High-Income West
261582,High-Income East
679859,High-Income West
924724,High-Income East
122958,Low-Income East
274698,Low-Income West
149549,High-Income West
652291,High-Income West
603775,Low-Income East
948404,Low-Income West
605877,Low-Income East
994377,Low-Income West
766927,High-Income East
172610,Low-Income East
702588,Low-Income West
798248,Low-Income West
641448,High-Income West
406047,Low-Income East
538902,Low-Income West
805110,Low-Income East
883242,Low-Income East
909134,Low-Income West
294753,Low-Income East
606076,High-Income West
120613,Low-Income East
520094,Low-Income East
754539,Low-Income East
189611,Low-Income West
971599,Low-Income West
485189,Low-Income East
521384,High-Income West
128039,High-Income West
565133,Low-Income East
947876,High-Income East
138746,Low-Income West
564707,Low-Income East
383898,Low-Income East
174996,Low-Income West
798854,Low-Income West
800075,Low-Income East
410384,Low-Income East
692304,Low-Income East
991672,Low-Income East
344180,Low-Income West
703338,Low-Income East
922388,High-Income West
471018,Low-Income East
655743,Low-Income East
787472,Low-Income East
667687,Low-Income East
348920,High-Income East
523394,High-Income West
430521,Low-Income West
981581,Low-Income West
639510,Low-Income West
744675,Low-Income East
289177,Low-Income East
420890,Low-Income East
357149,Low-Income East
876207,High-Income East
224384,High-Income East
650445,High-Income East
399982,Low-Income West
228984,Low-Income West
221388,Low-Income East
710053,Low-Income East
591576,Low-Income East
296412,High-Income East
836475,High-Income West
901002,Low-Income West
450979,Low-Income East
392235,Low-Income West
529218,Low-Income West
549132,Low-Income West
782523,Low-Income East
566343,Low-Income East
263729,High-Income East
326561,High-Income West
604116,High-Income West
313837,Low-Income East
561092,Low-Income East
234866,Low-Income East
721984,Low-Income East
772397,Low-Income East
685792,Low-Income West
344199,Low-Income East
909385,Low-Income East
211043,Low-Income West
459801,Low-Income East
958243,Low-Income East
517758,Low-Income West
712062,Low-Income East
845945,High-Income West
324707,Low-Income East
184635,High-Income East
947123,Low-Income East
432598,High-Income East
524483,High-Income West
413445,High-Income East
257575,High-Income East
352834,Low-Income East
127590,High-Income East
846374,Low-Income East
651054,High-Income East
776956,Low-Income East
130368,High-Income East
752331,High-Income East
986825,High-Income West
882024,Low-Income West
981343,Low-Income East
101581,High-Income East
321557,High-Income West
390719,High-Income West
329358,High-Income East
497494,Low-Income East
821379,Low-Income West
361816,Low-Income West
517612,Low-Income East
734192,Low-Income East
774724,Low-Income West
874161,Low-Income East
906396,Low-Income East
722976,Low-Income West
747304,Low-Income West
613804,Low-Income East
995877,Low-Income East
446968,High-Income West
123928,Low-Income East
237105,Low-Income East
395026,Low-Income East
702493,Low-Income West
894466,High-Income East
610393,High-Income East
800726,High-Income East
111171,Low-Income West
199959,Low-Income East
842064,Low-Income East
149542,High-Income East
779434,Low-Income West
203184,Low-Income East
225077,Low-Income West
365816,Low-Income East
781463,Low-Income East
644786,High-Income East
441440,Low-Income West
756791,Low-Income West
676676,Low-Income East
401858,Low-Income East
819569,Low-Income East
428826,High-Income West
779435,Low-Income East
518533,Low-Income East
568547,Low-Income East
761007,Low-Income East
830931,High-Income East
229204,Low-Income West
437269,Low-Income West
202761,Low-Income West
723390,Low-Income West
956005,High-Income East
683361,Low-Income East
370486,Low-Income East
279919,High-Income East
635249,Low-Income West
849415,Low-Income East
334003,High-Income West
256323,High-Income East
553567,High-Income East
612555,High-Income East
411242,Low-Income East
353128,High-Income West
367961,Low-Income East
431899,Low-Income East
835491,High-Income East
791355,High-Income West
331258,Low-Income East
713329,High-Income East
422805,High-Income East
660376,High-Income East
841677,High-Income East
871329,Low-Income East
626326,High-Income East
412854,Low-Income West
187010,Low-Income West
333621,Low-Income East
270570,Low-Income West
305171,Low-Income East
715668,Low-Income East
197529,Low-Income West
496325,Low-Income East
873180,Low-Income West
630320,High-Income East
304944,Low-Income West
615662,Low-Income East
887192,Low-Income East
540497,Low-Income East
673061,Low-Income East
534794,High-Income West
336341,Low-Income East
465530,Low-Income East
600598,Low-Income East
724720,Low-Income West
627489,Low-Income West
264064,Low-Income West
740762,High-Income East
527622,Low-Income East
984636,Low-Income West
110691,Low-Income West
737791,Low-Income East
219413,Low-Income East
260685,Low-Income West
501363,Low-Income West
982202,Low-Income East
218529,Low-Income East
691645,Low-Income East
881157,Low-Income West
426185,High-Income East
546758,Low-Income East
270723,High-Income East
275387,High-Income West
504715,Low-Income West
380183,Low-Income East
654817,High-Income East
541078,High-Income East
555112,Low-Income East
726732,Low-Income West
948327,High-Income West
384269,High-Income East
791852,High-Income East
372183,Low-Income East
481857,High-Income East
765252,Low-Income East
539358,Low-Income East
697837,Low-Income West
464471,Low-Income East
410921,Low-Income East
826304,High-Income East
200077,Low-Income East
597897,Low-Income West
119408,Low-Income West
241167,High-Income East
159275,Low-Income East
458697,Low-Income West
620465,Low-Income East
654578,High-Income East
432451,Low-Income West
251116,High-Income East
381786,Low-Income East
440967,Low-Income East
368292,Low-Income West
493677,Low-Income West
500374,Low-Income West
850418,Low-Income East
574560,Low-Income East
406574,Low-Income East
532925,Low-Income East
119837,Low-Income West
546039,Low-Income East
950914,Low-Income West
387129,Low-Income West
876006,High-Income West
230311,Low-Income East
955991,High-Income East
279409,Low-Income West
293531,Low-Income West
886127,Low-Income East
687108,Low-Income West
579005,Low-Income West
758372,Low-Income West
436087,High-Income East
471460,High-Income West
605505,Low-Income West
745336,Low-Income East
413185,Low-Income East
715462,Low-Income East
739933,High-Income East
675106,Low-Income West
767728,Low-Income East
244032,High-Income West
872408,Low-Income West
583648,Low-Income East
250380,Low-Income East
935504,Low-Income West
311943,Low-Income East
811684,High-Income West
672103,Low-Income West
657339,Low-Income West
433812,Low-Income East
217284,Low-Income West
559304,Low-Income West
290249,High-Income East
948815,High-Income East
513229,High-Income East
501278,Low-Income East
348299,Low-Income West
500455,Low-Income West
277356,Low-Income West
615394,Low-Income East
936723,Low-Income West
158314,Low-Income East
418090,Low-Income East
769623,Low-Income East
685314,Low-Income East
413282,Low-Income East
884088,Low-Income East
445867,Low-Income East
568286,Low-Income East
965066,High-Income East
105145,Low-Income East
516329,Low-Income West
945479,Low-Income West
363925,Low-Income West
798216,Low-Income East
822694,Low-Income East
747483,Low-Income East
784838,Low-Income East
405597,Low-Income East
502592,Low-Income East
999143,Low-Income East
420010,Low-Income East
416620,Low-Income East
198424,Low-Income West
244099,Low-Income East
814653,Low-Income West
636505,Low-Income East
110142,Low-Income West
685346,High-Income East
967634,High-Income East
919506,Low-Income West
272944,Low-Income East
512906,Low-Income East
490984,Low-Income East
812042,High-Income West
366719,High-Income East
192177,Low-Income West
273353,Low-Income East
249555,Low-Income East
103862,Low-Income East
121935,Low-Income West
224402,High-Income East
988839,High-Income West
416768,Low-Income East
667767,High-Income West
955178,Low-Income East
534716,Low-Income East
565041,High-Income East
596004,Low-Income West
340934,Low-Income East
335839,High-Income East
621940,Low-Income West
308379,High-Income West
683791,Low-Income East
715015,Low-Income West
835796,Low-Income East
564201,High-Income East
572410,Low-Income East
306288,Low-Income East
568111,Low-Income West
201220,High-Income West
533766,Low-Income West
990933,Low-Income East
806850,High-Income East
613265,High-Income East
163608,Low-Income West
237984,Low-Income East
288419,Low-Income East
285738,Low-Income West
666556,Low-Income East
698180,Low-Income West
807589,High-Income East
135382,Low-Income East
444778,Low-Income West
502534,High-Income East
589840,Low-Income East
551300,Low-Income East
990204,Low-Income West
148299,Low-Income West
412902,Low-Income East
602694,Low-Income East
655721,High-Income East
205445,High-Income East
883349,High-Income East
773293,High-Income West
957127,Low-Income East
176611,Low-Income East
848248,Low-Income West
162013,High-Income East
706628,Low-Income East
495027,High-Income West
731001,High-Income East
692096,Low-Income West
544569,Low-Income East
616220,Low-Income East
778426,High-Income East
211083,Low-Income East
693256,Low-Income East
343377,Low-Income West
608739,Low-Income East
421497,High-Income East
268094,Low-Income East
982608,Low-Income West
703882,Low-Income West
821404,High-Income East
544561,Low-Income East
528074,High-Income West
709550,High-Income East
601448,Low-Income East
264234,Low-Income East
989048,Low-Income West
788460,High-Income East
765973,Low-Income East
831087,High-Income East
750776,Low-Income East
401336,Low-Income East
936612,High-Income East
785836,Low-Income West
161437,High-Income West
654187,High-Income East
801821,Low-Income East
655044,Low-Income East
223946,High-Income East
531286,Low-Income East
655614,High-Income East
101876,Low-Income East
908729,Low-Income East
622269,Low-Income West
929701,Low-Income East
622171,Low-Income East
708020,High-Income East
919922,Low-Income East
479872,Low-Income East
277091,Low-Income East
386363,High-Income East
307233,Low-Income East
199342,Low-Income East
810257,Low-Income West
252341,Low-Income East
485397,Low-Income East
799399,Low-Income East
687748,High-Income West
368830,Low-Income West
249224,High-Income East
444684,High-Income East
181726,High-Income West
164559,Low-Income West
530978,Low-Income East
372261,Low-Income East
738427,Low-Income West
295929,High-Income East
381717,High-Income East
437022,High-Income East
582861,High-Income East
945014,High-Income East
809728,Low-Income East
460207,Low-Income West
567256,Low-Income East
543956,Low-Income West
290599,High-Income East
878909,Low-Income East
941194,High-Income East
600820,Low-Income East
430228,High-Income West
646168,High-Income East
866302,High-Income West
998192,High-Income West
189146,High-Income East
290517,High-Income West
513000,High-Income West
917352,High-Income East
277910,Low-Income East
345014,Low-Income West
398305,Low-Income East
484194,Low-Income East
618309,High-Income East
160686,High-Income East
355995,High-Income West
519203,High-Income East
306402,Low-Income East
428590,Low-Income West
446315,High-Income East
576716,High-Income East
111646,High-Income East
685982,High-Income East
166037,High-Income West
236593,Low-Income East
784113,Low-Income West
896790,Low-Income West
990595,Low-Income East
773261,Low-Income West
756907,High-Income East
455287,High-Income West
633999,High-Income West
285484,Low-Income East
342738,Low-Income East
907743,Low-Income East
484733,High-Income West
981848,Low-Income East
399575,High-Income West
852310,High-Income East
885007,Low-Income East
692097,High-Income East
532813,Low-Income East
425445,High-Income West
410460,Low-Income East
508854,Low-Income East
141233,Low-Income West
277769,Low-Income West
340479,High-Income West
980651,High-Income East
513708,High-Income West
796508,High-Income East
304770,High-Income East
729762,High-Income East
203258,Low-Income West
654890,Low-Income East
716393,High-Income West
751612,Low-Income East
493427,High-Income West
152016,Low-Income East
577151,High-Income East
204042,High-Income West
254683,High-Income East
824259,High-Income East
259634,Low-Income West
730742,Low-Income East
287593,High-Income West
481450,High-Income East
503598,High-Income East
591608,High-Income West
800923,Low-Income East
127128,Low-Income West
518249,High-Income West
682308,Low-Income East
974114,High-Income East
179719,Low-Income East
780944,Low-Income East
369458,Low-Income West
202585,Low-Income East
924719,Low-Income West
345608,High-Income West
662268,High-Income East
526747,High-Income East
395121,High-Income East
331698,Low-Income West
336539,Low-Income West
351513,Low-Income East
586542,Low-Income East
792383,Low-Income East
274264,Low-Income East
460711,Low-Income East
117408,Low-Income West
498644,High-Income East
231273,Low-Income West
329587,Low-Income East
206992,Low-Income East
421855,Low-Income East
469684,Low-Income West
763520,Low-Income East
823112,Low-Income East
768012,Low-Income West
399418,Low-Income East
734035,Low-Income East
468542,High-Income West
894340,Low-Income East
192096,High-Income West
787172,High-Income West
400702,High-Income East
416124,Low-Income East
456752,Low-Income East
466147,Low-Income East
226176,Low-Income West
837646,Low-Income East
559279,High-Income West
733693,High-Income East
602900,High-Income East
543978,High-Income East
287212,High-Income West
660436,Low-Income East
472726,High-Income East
887705,High-Income East
220358,High-Income East
590301,High-Income West
420464,Low-Income West
640244,Low-Income East
384920,High-Income East
573332,High-Income West
458320,High-Income East
101663,High-Income East
873458,Low-Income West
502745,High-Income East
866815,Low-Income West
439296,Low-Income East
521311,High-Income West
683909,High-Income East
856229,High-Income West
235629,Low-Income East
173212,High-Income East
476875,Low-Income East
330464,High-Income East
743768,High-Income West
595325,Low-Income West
881198,Low-Income East
415090,High-Income East
748286,Low-Income East
949175,Low-Income West
437810,High-Income East
297869,High-Income East
182587,Low-Income East
818391,High-Income East
272812,Low-Income East
273357,Low-Income East
302908,Low-Income East
217616,High-Income East
905497,Low-Income West
166577,Low-Income East
820187,Low-Income West
315851,High-Income East
469977,High-Income East
784570,Low-Income East
465931,High-Income West
482256,High-Income East
733746,Low-Income East
526064,High-Income West
655453,High-Income East
130326,Low-Income West
845275,Low-Income East
527944,Low-Income West
757634,High-Income West
135808,Low-Income East
418281,High-Income East
487536,High-Income West
508115,High-Income West
834522,High-Income East
842379,Low-Income West
508443,High-Income West
613925,High-Income East
653304,High-Income East
821325,Low-Income East
400478,High-Income East
436081,High-Income East
812282,High-Income East
431277,Low-Income East
631821,Low-Income East
282930,Low-Income West
577405,Low-Income West
753149,Low-Income East
222960,High-Income East
232426,Low-Income West
397248,High-Income East
785185,High-Income East
879600,High-Income West
418990,High-Income East
205465,Low-Income East
382045,Low-Income West
738141,Low-Income East
751820,Low-Income East
956191,Low-Income East
359188,High-Income East
342958,Low-Income East
776830,Low-Income East
842236,High-Income West
444686,Low-Income West
627107,Low-Income East
728748,High-Income East
746677,High-Income East
630396,Low-Income East
833765,High-Income East
462077,High-Income West
728586,High-Income East
246775,Low-Income East
471440,High-Income East
784945,High-Income East
438120,High-Income East
650290,Low-Income West
755538,Low-Income East
430712,High-Income East
724818,High-Income East
660030,Low-Income East
102982,High-Income West
630880,High-Income East
803796,Low-Income West
917972,High-Income West
906623,High-Income East
161373,Low-Income East
241038,Low-Income East
541898,High-Income East
235391,Low-Income East
272250,Low-Income East
293266,Low-Income East
391357,Low-Income West
328173,Low-Income West
559005,Low-Income East
165056,High-Income West
847359,High-Income East
596390,High-Income West
913981,High-Income East
727175,Low-Income East
437197,Low-Income West
879462,Low-Income East
483747,High-Income East
993054,High-Income West
598258,High-Income West
941361,High-Income East
280603,Low-Income West
445370,High-Income West
750710,Low-Income East
746171,Low-Income East
947641,High-Income West
276746,High-Income West
819765,High-Income East
672170,Low-Income East
990268,High-Income East
989256,Low-Income West
384905,Low-Income East
203864,High-Income East
221014,High-Income West
349342,Low-Income East
963410,High-Income East
163445,Low-Income East
901231,Low-Income West
149981,High-Income West
727053,High-Income East
132319,High-Income East
629642,High-Income West
378181,High-Income West
188668,Low-Income West
628169,Low-Income West
290362,Low-Income East
395189,High-Income East
786525,High-Income West
598398,Low-Income West
113316,Low-Income West
426351,High-Income East
423201,High-Income East
401036,High-Income East
896792,High-Income West
831948,Low-Income West
794202,Low-Income West
447962,Low-Income East
871094,Low-Income West
628258,Low-Income East
782654,Low-Income East
736813,High-Income West
485330,High-Income East
428249,Low-Income West
483768,Low-Income East
837237,Low-Income West
170903,High-Income East
624929,High-Income West
349539,Low-Income East
508821,Low-Income East
172755,Low-Income West
742612,Low-Income East
675535,Low-Income West
797120,High-Income East
118632,Low-Income East
711567,High-Income East
752704,Low-Income East
343001,Low-Income East
618100,Low-Income West
335554,Low-Income West
569603,Low-Income East
672679,High-Income East
183020,Low-Income East
749566,High-Income East
358900,Low-Income East
765323,Low-Income East
766355,Low-Income West
827147,Low-Income West
855026,Low-Income East
817136,Low-Income East
711577,Low-Income East
250696,High-Income West
436247,Low-Income East
763113,Low-Income East
817191,Low-Income East
861877,High-Income East
493358,Low-Income East
853894,Low-Income East
729094,High-Income East
256945,Low-Income West
646038,High-Income West
981160,High-Income West
276494,High-Income West
644938,High-Income East
938981,Low-Income West
749459,High-Income West
275694,High-Income East
216500,Low-Income East
360435,High-Income East
393604,High-Income West
608241,High-Income East
638754,Low-Income West
195368,High-Income East
877945,High-Income East
577535,High-Income West
572263,Low-Income East
750739,High-Income East
392774,Low-Income West
458202,Low-Income East
506190,Low-Income West
906564,Low-Income East
841219,High-Income East
196779,High-Income East
596586,High-Income West
831253,High-Income East
759132,Low-Income East
258141,High-Income West
787525,High-Income West
612650,Low-Income East
956861,High-Income West
343978,High-Income East
328576,Low-Income East
637655,Low-Income East
529106,High-Income East
584285,High-Income West
344749,High-Income East
495632,High-Income West
252147,Low-Income East
503494,High-Income West
695250,High-Income East
535525,High-Income East
480732,Low-Income East
989666,Low-Income East
883574,Low-Income East
623144,High-Income East
386082,Low-Income West
748717,Low-Income West
314941,Low-Income West
804710,Low-Income West
706185,High-Income East
380031,High-Income East
937163,High-Income West
280545,High-Income East
223354,High-Income East
591579,Low-Income East
609184,Low-Income East
661274,High-Income West
607548,Low-Income West
901857,Low-Income East
511642,Low-Income East
670371,Low-Income East
272123,Low-Income East
957061,High-Income East
772532,High-Income East
372290,Low-Income West
451839,Low-Income East
334273,Low-Income East
263763,Low-Income West
324801,Low-Income East
543478,Low-Income East
553558,Low-Income East
797391,Low-Income West
576690,Low-Income West
572062,High-Income East
922665,High-Income East
308629,Low-Income East
276990,Low-Income East
912293,Low-Income West
994676,High-Income West
527640,High-Income East
564141,Low-Income East
908123,Low-Income East
222453,High-Income West
580356,Low-Income East
771713,High-Income West
118418,Low-Income East
392989,Low-Income West
430817,High-Income East
910157,High-Income West
405739,Low-Income East
831180,Low-Income East
144633,High-Income East
918564,High-Income West
347515,High-Income East
444931,Low-Income West
347955,High-Income East
458074,Low-Income East
734307,High-Income West
991568,High-Income East
174439,Low-Income West
719192,High-Income West
757127,High-Income East
503096,Low-Income East
915638,High-Income East
792514,High-Income West
352582,High-Income East
107519,High-Income East
186729,High-Income East
197855,High-Income West
202864,High-Income West
845273,High-Income East
930900,High-Income East
165022,High-Income East
447544,High-Income West
343994,High-Income West
330316,Low-Income East
662723,High-Income West
685408,High-Income East
773598,High-Income West
374266,Low-Income West
912757,High-Income West
175249,High-Income East
306068,High-Income West
233084,Low-Income East
298999,Low-Income East
372737,Low-Income East
484495,Low-Income West
595978,Low-Income East
836603,Low-Income West
227906,High-Income East
701954,Low-Income East
846277,Low-Income West
549238,High-Income West
209172,Low-Income East
346633,Low-Income East
983872,Low-Income West
143730,High-Income West
105688,Low-Income West
235063,Low-Income West
325082,Low-Income East
393975,High-Income East
636745,High-Income West
587284,Low-Income East
282542,High-Income East
153968,Low-Income East
244676,High-Income East
749328,Low-Income East
621750,High-Income West
524234,Low-Income East
344121,High-Income East
451240,High-Income East
171027,High-Income East
370744,High-Income East
182130,Low-Income East
154194,Low-Income East
231047,Low-Income East
391313,Low-Income West
422358,Low-Income East
612233,Low-Income West
324295,High-Income West
957276,High-Income East
392430,Low-Income East
343425,High-Income West
152423,High-Income West
962472,High-Income East
588516,High-Income East
793549,High-Income West
171137,High-Income East
189666,High-Income West
258408,High-Income East
441509,High-Income East
386446,High-Income East
955567,Low-Income East
218362,High-Income East
137251,Low-Income East
902634,High-Income West
103352,High-Income East
237770,High-Income East
359091,High-Income West
645986,High-Income East
845947,High-Income West
851871,High-Income East
937976,Low-Income West
905907,Low-Income East
128475,High-Income West
958026,High-Income East
431201,High-Income East
665373,High-Income West
240299,High-Income West
802316,High-Income East
640833,High-Income East
317094,Low-Income East
917725,Low-Income West
953307,Low-Income East
670289,High-Income East
707276,High-Income West
451819,Low-Income West
761966,High-Income East
968370,High-Income East
472314,High-Income East
767385,Low-Income East
576498,Low-Income East
799992,High-Income East
225482,High-Income East
249381,Low-Income West
319766,Low-Income East
635531,Low-Income West
345657,High-Income West
354150,High-Income West
325830,Low-Income East
306965,High-Income West
895972,Low-Income East
195848,High-Income East
111912,High-Income East
686838,High-Income West
178331,High-Income West
198167,High-Income East
202859,High-Income West
319901,High-Income East
450802,High-Income East
714123,High-Income West
715514,High-Income West
536082,Low-Income East
302669,Low-Income East
476080,Low-Income West
898423,Low-Income East
391402,High-Income East
902040,High-Income West
688058,Low-Income West
844582,Low-Income East
934912,Low-Income East
177345,Low-Income East
991356,Low-Income West
981920,High-Income West
282896,High-Income East
169661,Low-Income East
113919,Low-Income West
738005,High-Income East
638528,High-Income East
866604,Low-Income East
546665,Low-Income West
701622,Low-Income East
943236,Low-Income East
423711,Low-Income West
836405,Low-Income East
690554,High-Income West
943668,High-Income East
197138,High-Income East
752462,High-Income West
172593,High-Income East
403185,High-Income West
585780,Low-Income East
112522,Low-Income West
281777,High-Income West
701732,Low-Income East
349046,High-Income East
646502,High-Income West
678786,High-Income West
952859,High-Income West
159344,Low-Income West
351461,High-Income West
614787,Low-Income West
499932,High-Income West
451446,High-Income West
626149,High-Income East
911655,Low-Income East
408091,Low-Income East
486359,High-Income West
666597,High-Income East
372961,High-Income West
373898,High-Income East
370405,High-Income East
697680,Low-Income East
818484,High-Income East
285909,Low-Income East
997322,Low-Income West
457536,Low-Income West
805890,Low-Income West
679437,Low-Income East
842980,High-Income East
303682,Low-Income East
849178,High-Income East
873554,Low-Income West
427329,High-Income West
505680,Low-Income West
510513,High-Income West
231530,High-Income West
178160,Low-Income East
423096,Low-Income East
593885,Low-Income West
616835,Low-Income West
699194,High-Income East
857946,High-Income East
848973,Low-Income East
997359,Low-Income West
550839,High-Income West
279408,High-Income East
126262,High-Income East
946932,Low-Income East
691332,High-Income East
422750,High-Income East
633734,Low-Income West
665763,High-Income East
745792,Low-Income East
951616,High-Income East
161728,High-Income East
286883,High-Income West
693138,High-Income West
824414,High-Income West
773648,High-Income East
950252,High-Income East
484625,High-Income East
798375,High-Income East
489443,Low-Income West
276673,Low-Income East
733226,Low-Income West
855153,High-Income East
162472,High-Income East
723186,High-Income East
835693,High-Income West
910093,High-Income West
947367,High-Income West
762715,High-Income West
351966,Low-Income West
501209,High-Income East
390651,Low-Income East
528693,Low-Income East
745600,High-Income East
613709,Low-Income East
922703,Low-Income West
156959,High-Income West
690971,High-Income West
837704,High-Income West
607847,High-Income East
771056,Low-Income East
881741,High-Income East
741313,High-Income West
717232,High-Income East
234973,Low-Income East
254853,High-Income West
917423,Low-Income East
630290,Low-Income West
171902,High-Income East
415441,High-Income East
672893,Low-Income West
226191,High-Income West
797432,High-Income East
171908,High-Income West
478792,High-Income East
675385,High-Income West
434620,High-Income West
833436,High-Income West
915927,High-Income East
173666,High-Income West
693659,Low-Income East
607266,Low-Income West
415292,Low-Income East
668624,Low-Income West
243294,High-Income East
471170,Low-Income West
531514,Low-Income East
667692,High-Income West
490824,High-Income East
238607,High-Income East
448896,High-Income East
657865,High-Income West
100428,High-Income West
272686,High-Income West
761444,Low-Income East
598369,Low-Income East
389996,High-Income West
833844,High-Income East
776795,Low-Income East
173178,High-Income East
146215,High-Income East
747704,High-Income West
254428,Low-Income East
