Loyalty#,merged_labels
556136,The October Loyals
513081,The March Loyals
930718,The November Loyals
235872,The January Average
881142,The Lost Holiday Drifters
295147,The May Planners
306110,The May Planners
295217,The October Loyals
711363,The Summer-Fall Hybrids
591731,The October Loyals
326905,The March Loyals
375511,The September Loyals
485283,The Q4 Boomerang
760158,New travelers
797685,The Summer-Fall Hybrids
216467,The May Planners
958839,New travelers
539673,The October Loyals
484718,The March Loyals
528492,The June Loyals
995091,The Dormant Browsers
632793,The June Loyals
912220,New travelers
382197,The Dormant Browsers
705196,The October Loyals
123094,The Q4 Boomerang
821515,New travelers
119488,The January Average
287750,The December Loyals
735846,The December Loyals
606026,The January Average
460291,The November Loyals
743001,The March Loyals
869799,The September Loyals
520321,New travelers
170585,The November Loyals
188340,The March Loyals
670817,The September Loyals
509513,The September Loyals
779247,The September Loyals
111255,The September Loyals
763061,The November Loyals
509108,New travelers
428919,The November Loyals
139863,The February Loyals
695755,New travelers
355331,The December Loyals
578837,The December Loyals
603248,New travelers
467182,The January Average
601407,The Autumn Budget
700871,The May Planners
203809,New travelers
705589,The May Planners
746060,The September Loyals
469718,The December Loyals
164429,The January Average
708373,The November Loyals
225088,The February Loyals
100214,The March Loyals
459999,The January Average
553936,New travelers
268128,The November Loyals
930584,The September Loyals
327796,The January Average
947467,The February Loyals
743510,The Summer-Fall Hybrids
580324,The March Loyals
845613,New travelers
936088,The September Loyals
423324,New travelers
101945,The September Loyals
713636,The December Loyals
302509,The February Loyals
789421,The September Loyals
914255,New travelers
242377,New travelers
404426,The May Planners
260106,The Lost Holiday Drifters
154643,The May Planners
438023,The January Average
397518,The Summer-Fall Hybrids
645742,New travelers
872932,The December Loyals
407945,The September Loyals
211714,The September Loyals
410982,The June Loyals
905213,The November Loyals
147898,The December Loyals
530105,The Dormant Browsers
610946,The December Loyals
383108,The January Average
836343,The November Loyals
398535,The Q4 Boomerang
585357,The September Loyals
784804,The November Loyals
715764,The May Planners
753473,The September Loyals
980856,The January Average
271660,The March Loyals
377471,The September Loyals
830547,New travelers
264936,The September Loyals
436498,New travelers
976513,The September Loyals
828776,The Dormant Browsers
240362,The December Loyals
137845,The June Loyals
430569,The September Loyals
317001,New travelers
625870,The March Loyals
660554,The May Planners
917630,The Summer-Fall Hybrids
670686,The September Loyals
717660,The September Loyals
450621,The October Loyals
939562,The September Loyals
135250,The June Loyals
714555,The March Loyals
947868,The September Loyals
573661,New travelers
228580,The February Loyals
557500,The June Loyals
238233,The February Loyals
979309,The December Loyals
885497,The Summer-Fall Hybrids
833569,The Summer-Fall Hybrids
120046,The Summer-Fall Hybrids
816881,The June Loyals
717700,The January Average
962278,The Summer-Fall Hybrids
245465,The November Loyals
510372,New travelers
709920,The May Planners
143784,The March Loyals
602176,The October Loyals
870998,The June Loyals
958224,The September Loyals
837628,The March Loyals
395460,The September Loyals
136547,The September Loyals
780631,The Q4 Boomerang
166712,The November Loyals
217695,The June Loyals
263707,The February Loyals
638368,The February Loyals
695529,The May Planners
871203,The Dormant Browsers
915571,The January Average
642109,The September Loyals
833701,The October Loyals
275442,The December Loyals
374345,The September Loyals
384825,The September Loyals
559233,New travelers
564650,The January Average
277649,The February Loyals
176885,New travelers
732013,The September Loyals
793318,The June Loyals
830024,The February Loyals
223684,New travelers
723262,New travelers
879892,New travelers
966117,The March Loyals
258358,The Lost Holiday Drifters
265836,The January Average
474174,The Pandemic Drop-offs
474172,New travelers
202299,The March Loyals
497467,The January Average
971902,New travelers
134279,New travelers
474757,New travelers
635225,The June Loyals
980198,The May Planners
995693,The Q4 Boomerang
861924,The February Loyals
639383,New travelers
769731,The March Loyals
884530,New travelers
207372,The Q4 Boomerang
236300,New travelers
543553,The Q4 Boomerang
639701,The November Loyals
998090,The December Loyals
283747,The February Loyals
863122,New travelers
816593,The December Loyals
440939,The September Loyals
531201,New travelers
585629,The October Loyals
347932,The June Loyals
417886,The May Planners
514900,New travelers
203550,The December Loyals
181825,The October Loyals
261582,The September Loyals
679859,The Summer-Fall Hybrids
924724,The March Loyals
122958,The September Loyals
274698,The Pandemic Drop-offs
149549,The June Loyals
652291,The December Loyals
603775,The September Loyals
948404,The Summer-Fall Hybrids
605877,The June Loyals
994377,The March Loyals
766927,The October Loyals
172610,The March Loyals
702588,The May Planners
798248,The May Planners
641448,The May Planners
406047,The January Average
538902,New travelers
805110,The June Loyals
883242,New travelers
909134,The January Average
294753,The September Loyals
606076,New travelers
120613,The February Loyals
520094,The September Loyals
754539,The January Average
189611,The November Loyals
971599,The November Loyals
485189,New travelers
521384,The September Loyals
128039,The May Planners
565133,The September Loyals
947876,The September Loyals
138746,The November Loyals
564707,The February Loyals
383898,New travelers
174996,The June Loyals
798854,New travelers
800075,The December Loyals
410384,The January Average
692304,The December Loyals
991672,The Autumn Budget
344180,The Dormant Browsers
703338,New travelers
922388,The December Loyals
471018,New travelers
655743,The May Planners
787472,The Autumn Budget
667687,New travelers
348920,The December Loyals
523394,The February Loyals
430521,New travelers
981581,The September Loyals
639510,The December Loyals
744675,The October Loyals
289177,The Dormant Browsers
420890,The Q4 Boomerang
357149,The January Average
876207,The February Loyals
224384,The September Loyals
650445,The September Loyals
399982,The September Loyals
228984,The January Average
221388,The March Loyals
710053,The September Loyals
591576,New travelers
296412,The Lost Holiday Drifters
836475,The January Average
901002,The May Planners
450979,The February Loyals
392235,The May Planners
529218,The October Loyals
549132,The March Loyals
782523,New travelers
566343,New travelers
263729,New travelers
326561,The Lost Holiday Drifters
604116,New travelers
313837,New travelers
561092,The February Loyals
234866,The September Loyals
721984,The September Loyals
772397,The December Loyals
685792,The Pandemic Drop-offs
344199,The December Loyals
909385,The June Loyals
211043,The March Loyals
459801,The January Average
958243,The February Loyals
517758,The September Loyals
712062,The January Average
845945,The September Loyals
324707,The November Loyals
184635,The September Loyals
947123,The Lost Holiday Drifters
432598,The March Loyals
524483,The December Loyals
413445,The Lost Holiday Drifters
257575,The Dormant Browsers
352834,The Autumn Budget
127590,The January Average
846374,The December Loyals
651054,New travelers
776956,The May Planners
130368,The October Loyals
752331,The March Loyals
986825,The February Loyals
882024,New travelers
981343,The February Loyals
101581,The September Loyals
321557,New travelers
390719,New travelers
329358,The Autumn Budget
497494,The Summer-Fall Hybrids
821379,The Dormant Browsers
361816,The September Loyals
517612,New travelers
734192,The May Planners
774724,The February Loyals
874161,The Summer-Fall Hybrids
906396,The March Loyals
722976,The November Loyals
747304,The February Loyals
613804,The September Loyals
995877,The Dormant Browsers
446968,New travelers
123928,New travelers
237105,The Dormant Browsers
395026,The September Loyals
702493,The Lost Holiday Drifters
894466,The June Loyals
610393,The June Loyals
800726,The May Planners
111171,The January Average
199959,New travelers
842064,New travelers
149542,New travelers
779434,The February Loyals
203184,The March Loyals
225077,The September Loyals
365816,The January Average
781463,The December Loyals
644786,The January Average
441440,The October Loyals
756791,The June Loyals
676676,New travelers
401858,The Lost Holiday Drifters
819569,The January Average
428826,New travelers
779435,The Dormant Browsers
518533,The Summer-Fall Hybrids
568547,The October Loyals
761007,New travelers
830931,The October Loyals
229204,The Q4 Boomerang
437269,The Pandemic Drop-offs
202761,New travelers
723390,The Lost Holiday Drifters
956005,The May Planners
683361,The Summer-Fall Hybrids
370486,The May Planners
279919,The December Loyals
635249,The January Average
849415,The October Loyals
334003,The February Loyals
256323,The November Loyals
553567,The Pandemic Drop-offs
612555,The November Loyals
411242,New travelers
353128,The October Loyals
367961,The January Average
431899,The Summer-Fall Hybrids
835491,The October Loyals
791355,The September Loyals
331258,The June Loyals
713329,The September Loyals
422805,The March Loyals
660376,The October Loyals
841677,The May Planners
871329,New travelers
626326,New travelers
412854,The November Loyals
187010,The Q4 Boomerang
333621,The March Loyals
270570,The June Loyals
305171,The October Loyals
715668,The Lost Holiday Drifters
197529,New travelers
496325,The February Loyals
873180,The Summer-Fall Hybrids
630320,The September Loyals
304944,The September Loyals
615662,The October Loyals
887192,The Summer-Fall Hybrids
540497,The Autumn Budget
673061,The Lost Holiday Drifters
534794,New travelers
336341,The September Loyals
465530,The March Loyals
600598,The May Planners
724720,The January Average
627489,The September Loyals
264064,The Lost Holiday Drifters
740762,The October Loyals
527622,The October Loyals
984636,The September Loyals
110691,The February Loyals
737791,The June Loyals
219413,The February Loyals
260685,The September Loyals
501363,The September Loyals
982202,The Q4 Boomerang
218529,The Autumn Budget
691645,The Q4 Boomerang
881157,The September Loyals
426185,The February Loyals
546758,The September Loyals
270723,The February Loyals
275387,The Summer-Fall Hybrids
504715,The May Planners
380183,The January Average
654817,The May Planners
541078,The May Planners
555112,The Lost Holiday Drifters
726732,The Pandemic Drop-offs
948327,The Q4 Boomerang
384269,The September Loyals
791852,VIPs
372183,The February Loyals
481857,The December Loyals
765252,The May Planners
539358,The September Loyals
697837,The September Loyals
464471,New travelers
410921,The December Loyals
826304,The October Loyals
200077,The Dormant Browsers
597897,The Summer-Fall Hybrids
119408,The Q4 Boomerang
241167,The November Loyals
159275,The November Loyals
458697,The March Loyals
620465,The December Loyals
654578,The December Loyals
432451,The September Loyals
251116,The Lost Holiday Drifters
381786,New travelers
440967,The June Loyals
368292,The Lost Holiday Drifters
493677,The March Loyals
500374,New travelers
850418,The January Average
574560,New travelers
406574,The September Loyals
532925,The Lost Holiday Drifters
119837,The January Average
546039,The December Loyals
950914,The Dormant Browsers
387129,The December Loyals
876006,The February Loyals
230311,The June Loyals
955991,The March Loyals
279409,The September Loyals
293531,The May Planners
886127,The Dormant Browsers
687108,New travelers
579005,The September Loyals
758372,The February Loyals
436087,The Summer-Fall Hybrids
471460,New travelers
605505,The September Loyals
745336,New travelers
413185,The March Loyals
715462,The September Loyals
739933,The September Loyals
675106,The October Loyals
767728,The Q4 Boomerang
244032,The January Average
872408,New travelers
583648,The June Loyals
250380,The Dormant Browsers
935504,The February Loyals
311943,The May Planners
811684,Holiday Travelers
672103,The December Loyals
657339,The December Loyals
433812,The October Loyals
217284,New travelers
559304,The March Loyals
290249,The September Loyals
948815,The March Loyals
513229,The September Loyals
501278,The February Loyals
348299,New travelers
500455,The September Loyals
277356,The Lost Holiday Drifters
615394,The September Loyals
936723,The Pandemic Drop-offs
158314,The Dormant Browsers
418090,The February Loyals
769623,The September Loyals
685314,The May Planners
413282,The May Planners
884088,The September Loyals
445867,The November Loyals
568286,The June Loyals
965066,The Autumn Budget
105145,New travelers
516329,The September Loyals
945479,The March Loyals
363925,The Q4 Boomerang
798216,The September Loyals
822694,The March Loyals
747483,The Q4 Boomerang
784838,The November Loyals
405597,The December Loyals
502592,The September Loyals
999143,New travelers
420010,New travelers
416620,New travelers
198424,The September Loyals
244099,The November Loyals
814653,The January Average
636505,The June Loyals
110142,The Dormant Browsers
685346,The September Loyals
967634,New travelers
919506,New travelers
272944,The January Average
512906,The Q4 Boomerang
490984,The September Loyals
812042,The November Loyals
366719,The Summer-Fall Hybrids
192177,The March Loyals
273353,New travelers
249555,The June Loyals
103862,The November Loyals
121935,The November Loyals
224402,The September Loyals
988839,New travelers
416768,The November Loyals
667767,The March Loyals
955178,The October Loyals
534716,The December Loyals
565041,The December Loyals
596004,The September Loyals
340934,New travelers
335839,The June Loyals
621940,The Summer-Fall Hybrids
308379,The September Loyals
683791,The November Loyals
715015,The November Loyals
835796,The December Loyals
564201,The December Loyals
572410,The September Loyals
306288,The October Loyals
568111,The November Loyals
201220,The December Loyals
533766,The June Loyals
990933,The November Loyals
806850,The Dormant Browsers
613265,The June Loyals
163608,The January Average
237984,The Summer-Fall Hybrids
288419,The May Planners
285738,The Lost Holiday Drifters
666556,The October Loyals
698180,The Summer-Fall Hybrids
807589,The September Loyals
135382,The March Loyals
444778,The December Loyals
502534,The February Loyals
589840,The June Loyals
551300,The September Loyals
990204,The September Loyals
148299,The May Planners
412902,The December Loyals
602694,The Q4 Boomerang
655721,The Q4 Boomerang
205445,The January Average
883349,New travelers
773293,The September Loyals
957127,The March Loyals
176611,The Dormant Browsers
848248,The May Planners
162013,The February Loyals
706628,New travelers
495027,The Dormant Browsers
731001,The Summer-Fall Hybrids
692096,The September Loyals
544569,The January Average
616220,The June Loyals
778426,The Summer-Fall Hybrids
211083,The October Loyals
693256,The October Loyals
343377,The November Loyals
608739,The September Loyals
421497,The September Loyals
268094,The Q4 Boomerang
982608,The Lost Holiday Drifters
703882,New travelers
821404,The Dormant Browsers
544561,The October Loyals
528074,New travelers
709550,The February Loyals
601448,The June Loyals
264234,The June Loyals
989048,The September Loyals
788460,The Lost Holiday Drifters
765973,New travelers
831087,The February Loyals
750776,The Lost Holiday Drifters
401336,The November Loyals
936612,The Lost Holiday Drifters
785836,The February Loyals
161437,The November Loyals
654187,The February Loyals
801821,The January Average
655044,The October Loyals
223946,The January Average
531286,The May Planners
655614,New travelers
101876,The Lost Holiday Drifters
908729,The March Loyals
622269,New travelers
929701,The January Average
622171,New travelers
708020,The February Loyals
919922,The Lost Holiday Drifters
479872,The September Loyals
277091,The February Loyals
386363,The September Loyals
307233,The October Loyals
199342,The October Loyals
810257,The May Planners
252341,The November Loyals
485397,The September Loyals
799399,The October Loyals
687748,New travelers
368830,New travelers
249224,The October Loyals
444684,The February Loyals
181726,The June Loyals
164559,The Q4 Boomerang
530978,The September Loyals
372261,The May Planners
738427,The December Loyals
295929,The December Loyals
381717,New travelers
437022,The November Loyals
582861,VIPs
945014,The February Loyals
809728,New travelers
460207,The June Loyals
567256,The January Average
543956,The Dormant Browsers
290599,The January Average
878909,The October Loyals
941194,The Q4 Boomerang
600820,New travelers
430228,The November Loyals
646168,The September Loyals
866302,The May Planners
998192,New travelers
189146,The Lost Holiday Drifters
290517,New travelers
513000,The Q4 Boomerang
917352,The Autumn Budget
277910,The Summer-Fall Hybrids
345014,The November Loyals
398305,New travelers
484194,The March Loyals
618309,The January Average
160686,The September Loyals
355995,The December Loyals
519203,The February Loyals
306402,The June Loyals
428590,New travelers
446315,The March Loyals
576716,The May Planners
111646,The Pandemic Drop-offs
685982,The June Loyals
166037,The September Loyals
236593,The March Loyals
784113,The May Planners
896790,The November Loyals
990595,The September Loyals
773261,The November Loyals
756907,The January Average
455287,New travelers
633999,The Dormant Browsers
285484,The October Loyals
342738,New travelers
907743,New travelers
484733,The Summer-Fall Hybrids
981848,The February Loyals
399575,The October Loyals
852310,The September Loyals
885007,The September Loyals
692097,New travelers
532813,The September Loyals
425445,The June Loyals
410460,The Lost Holiday Drifters
508854,The January Average
141233,The September Loyals
277769,The Q4 Boomerang
340479,The January Average
980651,The October Loyals
513708,The September Loyals
796508,The January Average
304770,The October Loyals
729762,New travelers
203258,New travelers
654890,The May Planners
716393,The May Planners
751612,The November Loyals
493427,The September Loyals
152016,The Dormant Browsers
577151,The Q4 Boomerang
204042,The January Average
254683,The February Loyals
824259,The January Average
259634,The Pandemic Drop-offs
730742,The Dormant Browsers
287593,The Summer-Fall Hybrids
481450,New travelers
503598,The September Loyals
591608,The May Planners
800923,The February Loyals
127128,The May Planners
518249,The January Average
682308,The November Loyals
974114,The January Average
179719,The September Loyals
780944,The March Loyals
369458,The September Loyals
202585,The December Loyals
924719,The September Loyals
345608,The December Loyals
662268,The February Loyals
526747,The Summer-Fall Hybrids
395121,The February Loyals
331698,The March Loyals
336539,The March Loyals
351513,New travelers
586542,The June Loyals
792383,The September Loyals
274264,The May Planners
460711,New travelers
117408,The March Loyals
498644,The June Loyals
231273,The January Average
329587,The June Loyals
206992,The June Loyals
421855,New travelers
469684,The January Average
763520,The Dormant Browsers
823112,The January Average
768012,The June Loyals
399418,The January Average
734035,The December Loyals
468542,New travelers
894340,The May Planners
192096,New travelers
787172,New travelers
400702,The December Loyals
416124,The December Loyals
456752,The Q4 Boomerang
466147,New travelers
226176,New travelers
837646,The Lost Holiday Drifters
559279,The May Planners
733693,The September Loyals
602900,The October Loyals
543978,The October Loyals
287212,New travelers
660436,The May Planners
472726,New travelers
887705,New travelers
220358,VIPs
590301,The February Loyals
420464,New travelers
640244,The November Loyals
384920,The March Loyals
573332,The June Loyals
458320,The Q4 Boomerang
101663,The February Loyals
873458,The March Loyals
502745,The Summer-Fall Hybrids
866815,New travelers
439296,The October Loyals
521311,The October Loyals
683909,New travelers
856229,New travelers
235629,New travelers
173212,The March Loyals
476875,The October Loyals
330464,The September Loyals
743768,The June Loyals
595325,The February Loyals
881198,The February Loyals
415090,The Dormant Browsers
748286,The Lost Holiday Drifters
949175,The November Loyals
437810,The September Loyals
297869,The November Loyals
182587,The Pandemic Drop-offs
818391,New travelers
272812,The September Loyals
273357,The December Loyals
302908,The November Loyals
217616,New travelers
905497,New travelers
166577,The December Loyals
820187,New travelers
315851,The September Loyals
469977,The January Average
784570,The Autumn Budget
465931,The March Loyals
482256,The September Loyals
733746,The January Average
526064,New travelers
655453,VIPs
130326,The January Average
845275,The March Loyals
527944,New travelers
757634,The May Planners
135808,The June Loyals
418281,The June Loyals
487536,New travelers
508115,The September Loyals
834522,New travelers
842379,The November Loyals
508443,New travelers
613925,The Lost Holiday Drifters
653304,New travelers
821325,New travelers
400478,The Pandemic Drop-offs
436081,The September Loyals
812282,The September Loyals
431277,The Summer-Fall Hybrids
631821,The September Loyals
282930,The February Loyals
577405,The January Average
753149,The November Loyals
222960,The September Loyals
232426,New travelers
397248,The September Loyals
785185,The June Loyals
879600,New travelers
418990,The June Loyals
205465,The Q4 Boomerang
382045,New travelers
738141,The Autumn Budget
751820,The September Loyals
956191,The October Loyals
359188,The Pandemic Drop-offs
342958,The Summer-Fall Hybrids
776830,New travelers
842236,The May Planners
444686,The February Loyals
627107,The Lost Holiday Drifters
728748,The March Loyals
746677,The September Loyals
630396,The May Planners
833765,The February Loyals
462077,The January Average
728586,The June Loyals
246775,The Dormant Browsers
471440,The Summer-Fall Hybrids
784945,The December Loyals
438120,The Q4 Boomerang
650290,The Pandemic Drop-offs
755538,The September Loyals
430712,The Summer-Fall Hybrids
724818,The September Loyals
660030,The December Loyals
102982,The May Planners
630880,The September Loyals
803796,The June Loyals
917972,The March Loyals
906623,The May Planners
161373,The Lost Holiday Drifters
241038,The January Average
541898,New travelers
235391,The January Average
272250,The March Loyals
293266,The February Loyals
391357,The Lost Holiday Drifters
328173,The September Loyals
559005,The September Loyals
165056,The June Loyals
847359,The September Loyals
596390,The March Loyals
913981,The December Loyals
727175,The September Loyals
437197,The February Loyals
879462,The March Loyals
483747,The Lost Holiday Drifters
993054,The October Loyals
598258,New travelers
941361,The January Average
280603,The December Loyals
445370,The January Average
750710,The May Planners
746171,The September Loyals
947641,The Q4 Boomerang
276746,The January Average
819765,The October Loyals
672170,The January Average
990268,The February Loyals
989256,The November Loyals
384905,New travelers
203864,The January Average
221014,New travelers
349342,The September Loyals
963410,The November Loyals
163445,New travelers
901231,The January Average
149981,New travelers
727053,The Pandemic Drop-offs
132319,The March Loyals
629642,The November Loyals
378181,The September Loyals
188668,The May Planners
628169,The June Loyals
290362,The May Planners
395189,New travelers
786525,The September Loyals
598398,The March Loyals
113316,The Dormant Browsers
426351,The October Loyals
423201,The November Loyals
401036,The September Loyals
896792,The February Loyals
831948,The February Loyals
794202,The Dormant Browsers
447962,The October Loyals
871094,The Dormant Browsers
628258,The November Loyals
782654,The November Loyals
736813,The Q4 Boomerang
485330,The Q4 Boomerang
428249,The October Loyals
483768,The February Loyals
837237,The June Loyals
170903,The Lost Holiday Drifters
624929,The November Loyals
349539,The February Loyals
508821,The September Loyals
172755,The Q4 Boomerang
742612,The October Loyals
675535,The November Loyals
797120,The Q4 Boomerang
118632,The June Loyals
711567,The October Loyals
752704,The March Loyals
343001,The February Loyals
618100,The June Loyals
335554,The September Loyals
569603,The October Loyals
672679,The Q4 Boomerang
183020,The December Loyals
749566,The October Loyals
358900,The May Planners
765323,The January Average
766355,The Q4 Boomerang
827147,The December Loyals
855026,The January Average
817136,The October Loyals
711577,The October Loyals
250696,The December Loyals
436247,The May Planners
763113,The June Loyals
817191,The September Loyals
861877,VIPs
493358,New travelers
853894,The January Average
729094,The June Loyals
256945,New travelers
646038,The May Planners
981160,The September Loyals
276494,The February Loyals
644938,The September Loyals
938981,New travelers
749459,The Q4 Boomerang
275694,The October Loyals
216500,New travelers
360435,The March Loyals
393604,The Dormant Browsers
608241,The October Loyals
638754,The Lost Holiday Drifters
195368,The October Loyals
877945,The October Loyals
577535,The September Loyals
572263,The September Loyals
750739,The Dormant Browsers
392774,The January Average
458202,The November Loyals
506190,The December Loyals
906564,The Lost Holiday Drifters
841219,The September Loyals
196779,The September Loyals
596586,The March Loyals
831253,The September Loyals
759132,New travelers
258141,The Q4 Boomerang
787525,The November Loyals
612650,The Pandemic Drop-offs
956861,The January Average
343978,The Pandemic Drop-offs
328576,The January Average
637655,The October Loyals
529106,The December Loyals
584285,The September Loyals
344749,The Q4 Boomerang
495632,The Q4 Boomerang
252147,The Q4 Boomerang
503494,New travelers
695250,The March Loyals
535525,The Pandemic Drop-offs
480732,The December Loyals
989666,The January Average
883574,The February Loyals
623144,The September Loyals
386082,The Dormant Browsers
748717,The February Loyals
314941,The February Loyals
804710,The May Planners
706185,New travelers
380031,The December Loyals
937163,The November Loyals
280545,The November Loyals
223354,The October Loyals
591579,New travelers
609184,The September Loyals
661274,The June Loyals
607548,The October Loyals
901857,The January Average
511642,The February Loyals
670371,The Summer-Fall Hybrids
272123,New travelers
957061,The October Loyals
772532,The Q4 Boomerang
372290,The November Loyals
451839,The Q4 Boomerang
334273,The March Loyals
263763,The Summer-Fall Hybrids
324801,The March Loyals
543478,The Summer-Fall Hybrids
553558,The September Loyals
797391,New travelers
576690,The January Average
572062,New travelers
922665,New travelers
308629,The December Loyals
276990,The June Loyals
912293,The October Loyals
994676,The May Planners
527640,The November Loyals
564141,The September Loyals
908123,The December Loyals
222453,The May Planners
580356,The March Loyals
771713,The June Loyals
118418,The September Loyals
392989,New travelers
430817,The May Planners
910157,The Q4 Boomerang
405739,The Pandemic Drop-offs
831180,The September Loyals
144633,The September Loyals
918564,The Summer-Fall Hybrids
347515,New travelers
444931,The February Loyals
347955,The November Loyals
458074,The November Loyals
734307,The May Planners
991568,The September Loyals
174439,The September Loyals
719192,The November Loyals
757127,New travelers
503096,New travelers
915638,The March Loyals
792514,The May Planners
352582,The December Loyals
107519,The Autumn Budget
186729,The Q4 Boomerang
197855,New travelers
202864,The October Loyals
845273,The September Loyals
930900,The February Loyals
165022,New travelers
447544,The March Loyals
343994,The March Loyals
330316,The September Loyals
662723,New travelers
685408,The February Loyals
773598,The May Planners
374266,The September Loyals
912757,The September Loyals
175249,The November Loyals
306068,The October Loyals
233084,The November Loyals
298999,The November Loyals
372737,New travelers
484495,The September Loyals
595978,The September Loyals
836603,New travelers
227906,The November Loyals
701954,The Summer-Fall Hybrids
846277,The Summer-Fall Hybrids
549238,The September Loyals
209172,The March Loyals
346633,The June Loyals
983872,New travelers
143730,The January Average
105688,The February Loyals
235063,The September Loyals
325082,The January Average
393975,New travelers
636745,The Lost Holiday Drifters
587284,The Dormant Browsers
282542,The September Loyals
153968,New travelers
244676,The Q4 Boomerang
749328,The June Loyals
621750,The Dormant Browsers
524234,The October Loyals
344121,VIPs
451240,The September Loyals
171027,New travelers
370744,The January Average
182130,The May Planners
154194,New travelers
231047,The March Loyals
391313,The Q4 Boomerang
422358,The May Planners
612233,The February Loyals
324295,The February Loyals
957276,The Pandemic Drop-offs
392430,The December Loyals
343425,The Lost Holiday Drifters
152423,The January Average
962472,The Q4 Boomerang
588516,The September Loyals
793549,The March Loyals
171137,The Summer-Fall Hybrids
189666,New travelers
258408,The May Planners
441509,The March Loyals
386446,New travelers
955567,The Dormant Browsers
218362,The September Loyals
137251,New travelers
902634,New travelers
103352,New travelers
237770,The May Planners
359091,The September Loyals
645986,The February Loyals
845947,The Summer-Fall Hybrids
851871,The October Loyals
937976,New travelers
905907,The October Loyals
128475,The June Loyals
958026,The May Planners
431201,The Q4 Boomerang
665373,The Lost Holiday Drifters
240299,New travelers
802316,The December Loyals
640833,The September Loyals
317094,The October Loyals
917725,The September Loyals
953307,New travelers
670289,The Autumn Budget
707276,The February Loyals
451819,The November Loyals
761966,The September Loyals
968370,The February Loyals
472314,The Dormant Browsers
767385,The September Loyals
576498,The January Average
799992,The May Planners
225482,The October Loyals
249381,The November Loyals
319766,New travelers
635531,The December Loyals
345657,The September Loyals
354150,The October Loyals
325830,The September Loyals
306965,The June Loyals
895972,The February Loyals
195848,The May Planners
111912,The December Loyals
686838,The May Planners
178331,The March Loyals
198167,The October Loyals
202859,The January Average
319901,New travelers
450802,The Q4 Boomerang
714123,The November Loyals
715514,The Q4 Boomerang
536082,The June Loyals
302669,The Q4 Boomerang
476080,The Lost Holiday Drifters
898423,The March Loyals
391402,The Autumn Budget
902040,The September Loyals
688058,The February Loyals
844582,The September Loyals
934912,The Summer-Fall Hybrids
177345,New travelers
991356,The January Average
981920,The October Loyals
282896,The September Loyals
169661,The December Loyals
113919,The September Loyals
738005,The October Loyals
638528,New travelers
866604,The January Average
546665,The September Loyals
701622,The September Loyals
943236,New travelers
423711,New travelers
836405,The November Loyals
690554,The May Planners
943668,New travelers
197138,The October Loyals
752462,The Dormant Browsers
172593,The February Loyals
403185,The March Loyals
585780,The May Planners
112522,The March Loyals
281777,New travelers
701732,New travelers
349046,The February Loyals
646502,The September Loyals
678786,The June Loyals
952859,New travelers
159344,The September Loyals
351461,New travelers
614787,The Lost Holiday Drifters
499932,The March Loyals
451446,The May Planners
626149,The September Loyals
911655,The November Loyals
408091,The Lost Holiday Drifters
486359,The December Loyals
666597,The September Loyals
372961,The Lost Holiday Drifters
373898,The June Loyals
370405,The Lost Holiday Drifters
697680,New travelers
818484,The September Loyals
285909,New travelers
997322,New travelers
