Loyalty#,Behavioral_Cluster_Name
623688,"Stable average travelers
(Loyal)"
751616,"Lost custumers
(Traveled more before)"
256147,"Stable average travelers
(Loyal)"
140392,"Growing travelers
(Now average)"
541008,"Gained customers
(Now traveling average)"
230908,"Stable average travelers
(Loyal)"
972581,"Consistent low travelers
(Use points)"
157729,"Gained customers
(Now traveling average)"
910875,"Points accumulator currently
(2021)"
501704,"Points accumulator currently
(2021)"
529098,"Growing travelers
(Now average)"
265297,Low-travel individuals
567875,"Consistent low travelers
(Use points)"
688524,"Consistent low travelers
(Use points)"
269070,"Formers Points accumulator
(2020)"
387705,"Points accumulator currently
(2021)"
923293,"Formers Points accumulator
(2020)"
789157,Low-travel individuals
654748,"Lost custumers
(Traveled more before)"
984713,Low-travel individuals
114835,"Points accumulator currently
(2021)"
328936,"Formers Points accumulator
(2020)"
845864,"Formers Points accumulator
(2020)"
645265,"Stable average travelers
(Loyal)"
223587,"Points accumulator currently
(2021)"
158560,"Growing travelers
(Now average)"
417584,"Points accumulator currently
(2021)"
957912,"Stable average travelers
(Loyal)"
425854,"Formers Points accumulator
(2020)"
695855,"Points accumulator currently
(2021)"
699511,"Lost custumers
(Traveled more before)"
377322,"Stable average travelers
(Loyal)"
511053,"Points accumulator currently
(2021)"
890753,"Gained customers
(Now traveling average)"
796670,"Formers Points accumulator
(2020)"
556136,"Stable average travelers
(Loyal)"
513081,"Growing travelers
(Now average)"
930718,"Stable average travelers
(Loyal)"
235872,"Points accumulator currently
(2021)"
881142,"Lost custumers
(Traveled more before)"
295147,"Growing travelers
(Now average)"
306110,"Consistent low travelers
(Use points)"
295217,"Growing travelers
(Now average)"
711363,Low-travel individuals
591731,"Stable average travelers
(Loyal)"
326905,"Consistent low travelers
(Use points)"
375511,"Stable average travelers
(Loyal)"
485283,"Gained customers
(Now traveling average)"
760158,"Gained customers
(Now traveling average)"
797685,"Points accumulator currently
(2021)"
216467,"Points accumulator currently
(2021)"
958839,Low-travel individuals
539673,"Lost custumers
(Traveled more before)"
484718,"Points accumulator currently
(2021)"
528492,"Formers Points accumulator
(2020)"
995091,"Growing travelers
(Now average)"
632793,"Consistent low travelers
(Use points)"
382197,Low-travel individuals
705196,"Formers Points accumulator
(2020)"
123094,"Gained customers
(Now traveling average)"
821515,Low-travel individuals
119488,"Points accumulator currently
(2021)"
287750,"Points accumulator currently
(2021)"
735846,"Growing travelers
(Now average)"
606026,"Stable average travelers
(Loyal)"
460291,"Stable average travelers
(Loyal)"
743001,"Gained customers
(Now traveling average)"
869799,"Growing travelers
(Now average)"
170585,"Points accumulator currently
(2021)"
188340,"Stable average travelers
(Loyal)"
670817,"Stable average travelers
(Loyal)"
509513,"Formers Points accumulator
(2020)"
779247,"Stable average travelers
(Loyal)"
111255,"Stable average travelers
(Loyal)"
763061,"Lost custumers
(Traveled more before)"
509108,Low-travel individuals
428919,"Points accumulator currently
(2021)"
139863,"Consistent low travelers
(Use points)"
355331,"Consistent low travelers
(Use points)"
578837,"Formers Points accumulator
(2020)"
467182,"Formers Points accumulator
(2020)"
601407,"Points accumulator currently
(2021)"
700871,"Formers Points accumulator
(2020)"
705589,"Stable average travelers
(Loyal)"
746060,"Stable average travelers
(Loyal)"
469718,"Formers Points accumulator
(2020)"
164429,"Formers Points accumulator
(2020)"
708373,"Stable average travelers
(Loyal)"
225088,"Formers Points accumulator
(2020)"
100214,"Points accumulator currently
(2021)"
459999,"Gained customers
(Now traveling average)"
268128,"Points accumulator currently
(2021)"
930584,"Points accumulator currently
(2021)"
327796,"Gained customers
(Now traveling average)"
947467,"Consistent low travelers
(Use points)"
743510,"Points accumulator currently
(2021)"
580324,"Consistent low travelers
(Use points)"
845613,Low-travel individuals
936088,"Stable average travelers
(Loyal)"
423324,Low-travel individuals
101945,"Points accumulator currently
(2021)"
713636,"Formers Points accumulator
(2020)"
302509,"Growing travelers
(Now average)"
789421,"Formers Points accumulator
(2020)"
404426,"Consistent low travelers
(Use points)"
260106,"Lost custumers
(Traveled more before)"
154643,"Consistent low travelers
(Use points)"
438023,"Points accumulator currently
(2021)"
397518,"Gained customers
(Now traveling average)"
872932,"Points accumulator currently
(2021)"
407945,"Stable average travelers
(Loyal)"
211714,"Formers Points accumulator
(2020)"
410982,"Formers Points accumulator
(2020)"
905213,"Points accumulator currently
(2021)"
147898,"Formers Points accumulator
(2020)"
530105,"Gained customers
(Now traveling average)"
610946,"Stable average travelers
(Loyal)"
383108,"Points accumulator currently
(2021)"
836343,"Consistent low travelers
(Use points)"
398535,Low-travel individuals
585357,"Stable average travelers
(Loyal)"
784804,"Points accumulator currently
(2021)"
715764,"Growing travelers
(Now average)"
753473,"Stable average travelers
(Loyal)"
980856,"Formers Points accumulator
(2020)"
271660,"Consistent low travelers
(Use points)"
377471,"Stable average travelers
(Loyal)"
830547,Low-travel individuals
264936,"Formers Points accumulator
(2020)"
976513,"Points accumulator currently
(2021)"
828776,"Points accumulator currently
(2021)"
240362,"Consistent low travelers
(Use points)"
137845,"Stable average travelers
(Loyal)"
430569,"Stable average travelers
(Loyal)"
317001,Low-travel individuals
625870,"Stable average travelers
(Loyal)"
660554,"Gained customers
(Now traveling average)"
917630,"Points accumulator currently
(2021)"
670686,"Points accumulator currently
(2021)"
717660,"Consistent low travelers
(Use points)"
450621,"Consistent low travelers
(Use points)"
939562,"Stable average travelers
(Loyal)"
135250,"Stable average travelers
(Loyal)"
714555,"Formers Points accumulator
(2020)"
947868,"Formers Points accumulator
(2020)"
573661,Low-travel individuals
228580,"Growing travelers
(Now average)"
557500,"Formers Points accumulator
(2020)"
238233,"Consistent low travelers
(Use points)"
979309,"Consistent low travelers
(Use points)"
885497,Low-travel individuals
833569,"Gained customers
(Now traveling average)"
120046,"Gained customers
(Now traveling average)"
816881,"Stable average travelers
(Loyal)"
717700,"Stable average travelers
(Loyal)"
962278,"Gained customers
(Now traveling average)"
245465,"Formers Points accumulator
(2020)"
510372,Low-travel individuals
709920,"Formers Points accumulator
(2020)"
143784,"Formers Points accumulator
(2020)"
602176,"Consistent low travelers
(Use points)"
870998,"Stable average travelers
(Loyal)"
958224,"Formers Points accumulator
(2020)"
837628,"Consistent low travelers
(Use points)"
395460,"Formers Points accumulator
(2020)"
136547,"Points accumulator currently
(2021)"
780631,Low-travel individuals
166712,"Points accumulator currently
(2021)"
217695,"Consistent low travelers
(Use points)"
263707,"Consistent low travelers
(Use points)"
638368,"Points accumulator currently
(2021)"
695529,"Formers Points accumulator
(2020)"
871203,"Gained customers
(Now traveling average)"
915571,"Growing travelers
(Now average)"
642109,"Stable average travelers
(Loyal)"
833701,"Formers Points accumulator
(2020)"
275442,"Formers Points accumulator
(2020)"
374345,"Formers Points accumulator
(2020)"
384825,"Formers Points accumulator
(2020)"
559233,Low-travel individuals
564650,"Formers Points accumulator
(2020)"
277649,"Stable average travelers
(Loyal)"
732013,"Stable average travelers
(Loyal)"
793318,"Points accumulator currently
(2021)"
830024,"Consistent low travelers
(Use points)"
223684,Low-travel individuals
723262,Low-travel individuals
879892,"Gained customers
(Now traveling average)"
966117,"Points accumulator currently
(2021)"
258358,"Lost custumers
(Traveled more before)"
265836,"Points accumulator currently
(2021)"
474174,"Formers Points accumulator
(2020)"
202299,"Stable average travelers
(Loyal)"
497467,"Formers Points accumulator
(2020)"
134279,Low-travel individuals
635225,"Formers Points accumulator
(2020)"
980198,"Points accumulator currently
(2021)"
995693,"Gained customers
(Now traveling average)"
861924,"Consistent low travelers
(Use points)"
639383,Low-travel individuals
769731,"Consistent low travelers
(Use points)"
884530,Low-travel individuals
207372,"Gained customers
(Now traveling average)"
543553,Low-travel individuals
639701,"Formers Points accumulator
(2020)"
998090,"Points accumulator currently
(2021)"
283747,"Points accumulator currently
(2021)"
863122,"Gained customers
(Now traveling average)"
816593,"Consistent low travelers
(Use points)"
440939,"Points accumulator currently
(2021)"
585629,"Stable average travelers
(Loyal)"
347932,"Formers Points accumulator
(2020)"
417886,"Consistent low travelers
(Use points)"
514900,Low-travel individuals
203550,"Consistent low travelers
(Use points)"
181825,"Points accumulator currently
(2021)"
261582,"Stable average travelers
(Loyal)"
679859,"Growing travelers
(Now average)"
924724,"Points accumulator currently
(2021)"
122958,"Formers Points accumulator
(2020)"
274698,"Formers Points accumulator
(2020)"
149549,"Consistent low travelers
(Use points)"
652291,"Consistent low travelers
(Use points)"
603775,"Formers Points accumulator
(2020)"
948404,"Consistent low travelers
(Use points)"
605877,"Points accumulator currently
(2021)"
994377,"Stable average travelers
(Loyal)"
766927,"Stable average travelers
(Loyal)"
172610,"Formers Points accumulator
(2020)"
702588,"Stable average travelers
(Loyal)"
798248,"Points accumulator currently
(2021)"
641448,"Formers Points accumulator
(2020)"
406047,"Stable average travelers
(Loyal)"
538902,"Gained customers
(Now traveling average)"
805110,"Stable average travelers
(Loyal)"
883242,Low-travel individuals
909134,"Formers Points accumulator
(2020)"
294753,"Stable average travelers
(Loyal)"
120613,"Consistent low travelers
(Use points)"
520094,"Consistent low travelers
(Use points)"
754539,"Consistent low travelers
(Use points)"
189611,"Stable average travelers
(Loyal)"
971599,"Consistent low travelers
(Use points)"
521384,"Stable average travelers
(Loyal)"
128039,"Formers Points accumulator
(2020)"
565133,"Stable average travelers
(Loyal)"
947876,"Formers Points accumulator
(2020)"
138746,"Points accumulator currently
(2021)"
564707,"Consistent low travelers
(Use points)"
383898,"Gained customers
(Now traveling average)"
174996,"Stable average travelers
(Loyal)"
798854,"Gained customers
(Now traveling average)"
800075,"Stable average travelers
(Loyal)"
410384,"Points accumulator currently
(2021)"
692304,"Formers Points accumulator
(2020)"
991672,"Consistent low travelers
(Use points)"
344180,"Growing travelers
(Now average)"
703338,Low-travel individuals
922388,"Stable average travelers
(Loyal)"
655743,"Formers Points accumulator
(2020)"
787472,"Gained customers
(Now traveling average)"
667687,Low-travel individuals
348920,"Consistent low travelers
(Use points)"
523394,"Points accumulator currently
(2021)"
981581,"Stable average travelers
(Loyal)"
639510,"Stable average travelers
(Loyal)"
744675,"Formers Points accumulator
(2020)"
289177,"Growing travelers
(Now average)"
420890,"Gained customers
(Now traveling average)"
357149,"Formers Points accumulator
(2020)"
876207,"Formers Points accumulator
(2020)"
224384,"Formers Points accumulator
(2020)"
650445,"Stable average travelers
(Loyal)"
399982,"Consistent low travelers
(Use points)"
228984,"Points accumulator currently
(2021)"
221388,"Points accumulator currently
(2021)"
710053,"Consistent low travelers
(Use points)"
296412,Low-travel individuals
836475,"Stable average travelers
(Loyal)"
901002,"Consistent low travelers
(Use points)"
450979,"Points accumulator currently
(2021)"
392235,"Stable average travelers
(Loyal)"
529218,"Formers Points accumulator
(2020)"
549132,"Gained customers
(Now traveling average)"
782523,Low-travel individuals
326561,"Lost custumers
(Traveled more before)"
604116,"Gained customers
(Now traveling average)"
313837,Low-travel individuals
561092,"Formers Points accumulator
(2020)"
234866,"Points accumulator currently
(2021)"
721984,"Points accumulator currently
(2021)"
772397,"Formers Points accumulator
(2020)"
685792,"Lost custumers
(Traveled more before)"
344199,"Consistent low travelers
(Use points)"
909385,"Consistent low travelers
(Use points)"
211043,"Stable average travelers
(Loyal)"
459801,"Points accumulator currently
(2021)"
958243,"Stable average travelers
(Loyal)"
517758,"Stable average travelers
(Loyal)"
712062,"Points accumulator currently
(2021)"
845945,"Stable average travelers
(Loyal)"
324707,"Consistent low travelers
(Use points)"
184635,"Formers Points accumulator
(2020)"
947123,Low-travel individuals
432598,"Formers Points accumulator
(2020)"
524483,"Formers Points accumulator
(2020)"
413445,Low-travel individuals
257575,"Consistent low travelers
(Use points)"
352834,"Points accumulator currently
(2021)"
127590,"Points accumulator currently
(2021)"
846374,"Points accumulator currently
(2021)"
651054,Low-travel individuals
776956,"Consistent low travelers
(Use points)"
130368,"Stable average travelers
(Loyal)"
752331,"Formers Points accumulator
(2020)"
986825,"Consistent low travelers
(Use points)"
882024,Low-travel individuals
981343,"Formers Points accumulator
(2020)"
101581,"Consistent low travelers
(Use points)"
329358,"Gained customers
(Now traveling average)"
497494,"Consistent low travelers
(Use points)"
821379,"Gained customers
(Now traveling average)"
361816,"Stable average travelers
(Loyal)"
734192,"Formers Points accumulator
(2020)"
774724,"Points accumulator currently
(2021)"
874161,"Gained customers
(Now traveling average)"
906396,"Growing travelers
(Now average)"
722976,"Consistent low travelers
(Use points)"
747304,"Growing travelers
(Now average)"
613804,"Formers Points accumulator
(2020)"
995877,"Gained customers
(Now traveling average)"
237105,"Gained customers
(Now traveling average)"
395026,"Stable average travelers
(Loyal)"
702493,"Lost custumers
(Traveled more before)"
894466,"Consistent low travelers
(Use points)"
610393,"Points accumulator currently
(2021)"
800726,"Points accumulator currently
(2021)"
111171,"Points accumulator currently
(2021)"
199959,"Gained customers
(Now traveling average)"
779434,"Consistent low travelers
(Use points)"
203184,"Points accumulator currently
(2021)"
225077,"Formers Points accumulator
(2020)"
365816,"Formers Points accumulator
(2020)"
781463,"Stable average travelers
(Loyal)"
644786,"Stable average travelers
(Loyal)"
441440,"Consistent low travelers
(Use points)"
756791,"Consistent low travelers
(Use points)"
401858,Low-travel individuals
819569,"Formers Points accumulator
(2020)"
428826,Low-travel individuals
779435,"Gained customers
(Now traveling average)"
518533,"Gained customers
(Now traveling average)"
568547,"Points accumulator currently
(2021)"
830931,"Stable average travelers
(Loyal)"
229204,Low-travel individuals
437269,"Lost custumers
(Traveled more before)"
723390,"Lost custumers
(Traveled more before)"
956005,"Formers Points accumulator
(2020)"
683361,"Gained customers
(Now traveling average)"
370486,"Growing travelers
(Now average)"
279919,"Points accumulator currently
(2021)"
635249,"Points accumulator currently
(2021)"
849415,"Formers Points accumulator
(2020)"
334003,"Points accumulator currently
(2021)"
256323,"Consistent low travelers
(Use points)"
553567,"Lost custumers
(Traveled more before)"
612555,"Stable average travelers
(Loyal)"
353128,"Formers Points accumulator
(2020)"
367961,"Stable average travelers
(Loyal)"
431899,"Points accumulator currently
(2021)"
835491,"Points accumulator currently
(2021)"
791355,"Formers Points accumulator
(2020)"
331258,"Consistent low travelers
(Use points)"
713329,"Stable average travelers
(Loyal)"
422805,"Consistent low travelers
(Use points)"
660376,"Points accumulator currently
(2021)"
841677,"Gained customers
(Now traveling average)"
412854,"Points accumulator currently
(2021)"
187010,"Gained customers
(Now traveling average)"
333621,"Consistent low travelers
(Use points)"
270570,"Growing travelers
(Now average)"
305171,"Points accumulator currently
(2021)"
715668,"Lost custumers
(Traveled more before)"
496325,"Stable average travelers
(Loyal)"
873180,"Gained customers
(Now traveling average)"
630320,"Stable average travelers
(Loyal)"
304944,"Stable average travelers
(Loyal)"
615662,"Formers Points accumulator
(2020)"
887192,Low-travel individuals
540497,"Growing travelers
(Now average)"
673061,"Lost custumers
(Traveled more before)"
336341,"Consistent low travelers
(Use points)"
465530,"Growing travelers
(Now average)"
600598,"Consistent low travelers
(Use points)"
724720,"Points accumulator currently
(2021)"
627489,"Consistent low travelers
(Use points)"
264064,"Lost custumers
(Traveled more before)"
740762,"Points accumulator currently
(2021)"
527622,"Points accumulator currently
(2021)"
984636,"Stable average travelers
(Loyal)"
110691,"Consistent low travelers
(Use points)"
737791,"Points accumulator currently
(2021)"
219413,"Points accumulator currently
(2021)"
260685,"Stable average travelers
(Loyal)"
501363,"Points accumulator currently
(2021)"
982202,"Gained customers
(Now traveling average)"
218529,"Gained customers
(Now traveling average)"
691645,"Gained customers
(Now traveling average)"
881157,"Points accumulator currently
(2021)"
426185,"Growing travelers
(Now average)"
546758,"Formers Points accumulator
(2020)"
270723,"Consistent low travelers
(Use points)"
275387,"Gained customers
(Now traveling average)"
504715,"Points accumulator currently
(2021)"
380183,"Points accumulator currently
(2021)"
654817,"Points accumulator currently
(2021)"
541078,"Growing travelers
(Now average)"
555112,"Lost custumers
(Traveled more before)"
726732,"Lost custumers
(Traveled more before)"
948327,Low-travel individuals
384269,"Stable average travelers
(Loyal)"
791852,"Points accumulator currently
(2021)"
372183,"Consistent low travelers
(Use points)"
481857,"Stable average travelers
(Loyal)"
765252,"Points accumulator currently
(2021)"
539358,"Stable average travelers
(Loyal)"
697837,"Stable average travelers
(Loyal)"
410921,"Formers Points accumulator
(2020)"
826304,"Growing travelers
(Now average)"
200077,"Gained customers
(Now traveling average)"
597897,Low-travel individuals
119408,Low-travel individuals
241167,"Stable average travelers
(Loyal)"
159275,"Formers Points accumulator
(2020)"
458697,"Formers Points accumulator
(2020)"
620465,"Stable average travelers
(Loyal)"
654578,"Stable average travelers
(Loyal)"
432451,"Stable average travelers
(Loyal)"
251116,"Lost custumers
(Traveled more before)"
381786,Low-travel individuals
440967,"Growing travelers
(Now average)"
368292,Low-travel individuals
493677,"Stable average travelers
(Loyal)"
500374,"Gained customers
(Now traveling average)"
850418,"Stable average travelers
(Loyal)"
406574,"Stable average travelers
(Loyal)"
532925,"Lost custumers
(Traveled more before)"
119837,"Formers Points accumulator
(2020)"
546039,"Consistent low travelers
(Use points)"
950914,"Gained customers
(Now traveling average)"
387129,"Stable average travelers
(Loyal)"
876006,"Stable average travelers
(Loyal)"
230311,"Formers Points accumulator
(2020)"
955991,"Consistent low travelers
(Use points)"
279409,"Stable average travelers
(Loyal)"
293531,"Consistent low travelers
(Use points)"
886127,"Consistent low travelers
(Use points)"
579005,"Stable average travelers
(Loyal)"
758372,"Points accumulator currently
(2021)"
436087,"Gained customers
(Now traveling average)"
471460,"Gained customers
(Now traveling average)"
605505,"Formers Points accumulator
(2020)"
413185,"Formers Points accumulator
(2020)"
715462,"Points accumulator currently
(2021)"
739933,"Points accumulator currently
(2021)"
675106,"Points accumulator currently
(2021)"
767728,Low-travel individuals
244032,"Consistent low travelers
(Use points)"
583648,"Growing travelers
(Now average)"
250380,"Gained customers
(Now traveling average)"
935504,"Consistent low travelers
(Use points)"
311943,"Points accumulator currently
(2021)"
811684,"Gained customers
(Now traveling average)"
672103,"Points accumulator currently
(2021)"
657339,"Formers Points accumulator
(2020)"
433812,"Consistent low travelers
(Use points)"
559304,"Consistent low travelers
(Use points)"
290249,"Stable average travelers
(Loyal)"
948815,"Stable average travelers
(Loyal)"
513229,"Points accumulator currently
(2021)"
501278,"Points accumulator currently
(2021)"
500455,"Consistent low travelers
(Use points)"
277356,"Lost custumers
(Traveled more before)"
615394,"Points accumulator currently
(2021)"
936723,"Lost custumers
(Traveled more before)"
158314,"Growing travelers
(Now average)"
418090,"Points accumulator currently
(2021)"
769623,"Points accumulator currently
(2021)"
685314,"Points accumulator currently
(2021)"
413282,"Consistent low travelers
(Use points)"
884088,"Points accumulator currently
(2021)"
445867,"Stable average travelers
(Loyal)"
568286,"Consistent low travelers
(Use points)"
965066,"Gained customers
(Now traveling average)"
516329,"Points accumulator currently
(2021)"
945479,"Formers Points accumulator
(2020)"
363925,"Growing travelers
(Now average)"
798216,"Formers Points accumulator
(2020)"
822694,"Consistent low travelers
(Use points)"
747483,Low-travel individuals
784838,"Stable average travelers
(Loyal)"
405597,"Consistent low travelers
(Use points)"
502592,"Consistent low travelers
(Use points)"
420010,Low-travel individuals
416620,Low-travel individuals
198424,"Consistent low travelers
(Use points)"
244099,"Stable average travelers
(Loyal)"
814653,"Growing travelers
(Now average)"
636505,"Consistent low travelers
(Use points)"
110142,"Gained customers
(Now traveling average)"
685346,"Stable average travelers
(Loyal)"
967634,Low-travel individuals
919506,Low-travel individuals
272944,"Points accumulator currently
(2021)"
512906,"Growing travelers
(Now average)"
490984,"Consistent low travelers
(Use points)"
812042,"Points accumulator currently
(2021)"
366719,"Growing travelers
(Now average)"
192177,"Stable average travelers
(Loyal)"
273353,"Gained customers
(Now traveling average)"
249555,"Stable average travelers
(Loyal)"
103862,"Points accumulator currently
(2021)"
121935,"Consistent low travelers
(Use points)"
224402,"Points accumulator currently
(2021)"
416768,"Points accumulator currently
(2021)"
667767,"Formers Points accumulator
(2020)"
955178,"Points accumulator currently
(2021)"
534716,"Stable average travelers
(Loyal)"
565041,"Growing travelers
(Now average)"
596004,"Points accumulator currently
(2021)"
335839,"Stable average travelers
(Loyal)"
621940,Low-travel individuals
308379,"Formers Points accumulator
(2020)"
683791,"Points accumulator currently
(2021)"
715015,"Formers Points accumulator
(2020)"
835796,"Stable average travelers
(Loyal)"
564201,"Stable average travelers
(Loyal)"
572410,"Points accumulator currently
(2021)"
306288,"Lost custumers
(Traveled more before)"
568111,"Formers Points accumulator
(2020)"
201220,"Stable average travelers
(Loyal)"
533766,"Consistent low travelers
(Use points)"
990933,"Points accumulator currently
(2021)"
806850,"Consistent low travelers
(Use points)"
613265,"Stable average travelers
(Loyal)"
163608,"Stable average travelers
(Loyal)"
237984,"Points accumulator currently
(2021)"
288419,"Points accumulator currently
(2021)"
285738,"Lost custumers
(Traveled more before)"
666556,"Consistent low travelers
(Use points)"
698180,"Gained customers
(Now traveling average)"
807589,"Formers Points accumulator
(2020)"
135382,"Stable average travelers
(Loyal)"
444778,"Points accumulator currently
(2021)"
502534,"Stable average travelers
(Loyal)"
589840,"Consistent low travelers
(Use points)"
551300,"Stable average travelers
(Loyal)"
990204,"Formers Points accumulator
(2020)"
148299,"Growing travelers
(Now average)"
412902,"Stable average travelers
(Loyal)"
602694,Low-travel individuals
655721,"Gained customers
(Now traveling average)"
205445,"Consistent low travelers
(Use points)"
773293,"Consistent low travelers
(Use points)"
957127,"Consistent low travelers
(Use points)"
176611,"Gained customers
(Now traveling average)"
848248,"Stable average travelers
(Loyal)"
162013,"Consistent low travelers
(Use points)"
706628,Low-travel individuals
495027,"Consistent low travelers
(Use points)"
731001,"Growing travelers
(Now average)"
692096,"Formers Points accumulator
(2020)"
544569,"Points accumulator currently
(2021)"
616220,"Points accumulator currently
(2021)"
778426,"Gained customers
(Now traveling average)"
211083,"Points accumulator currently
(2021)"
693256,"Consistent low travelers
(Use points)"
343377,"Formers Points accumulator
(2020)"
608739,"Formers Points accumulator
(2020)"
421497,"Formers Points accumulator
(2020)"
268094,"Growing travelers
(Now average)"
982608,"Lost custumers
(Traveled more before)"
821404,"Consistent low travelers
(Use points)"
544561,"Points accumulator currently
(2021)"
709550,"Formers Points accumulator
(2020)"
601448,"Formers Points accumulator
(2020)"
264234,"Points accumulator currently
(2021)"
989048,"Formers Points accumulator
(2020)"
788460,"Lost custumers
(Traveled more before)"
831087,"Points accumulator currently
(2021)"
750776,Low-travel individuals
401336,"Points accumulator currently
(2021)"
936612,"Lost custumers
(Traveled more before)"
785836,"Stable average travelers
(Loyal)"
161437,"Formers Points accumulator
(2020)"
654187,"Points accumulator currently
(2021)"
801821,"Consistent low travelers
(Use points)"
655044,"Growing travelers
(Now average)"
223946,"Consistent low travelers
(Use points)"
531286,"Consistent low travelers
(Use points)"
101876,"Lost custumers
(Traveled more before)"
908729,"Consistent low travelers
(Use points)"
929701,"Formers Points accumulator
(2020)"
622171,Low-travel individuals
708020,"Stable average travelers
(Loyal)"
919922,"Lost custumers
(Traveled more before)"
479872,"Formers Points accumulator
(2020)"
277091,"Consistent low travelers
(Use points)"
386363,"Stable average travelers
(Loyal)"
307233,"Stable average travelers
(Loyal)"
199342,"Formers Points accumulator
(2020)"
810257,"Formers Points accumulator
(2020)"
252341,"Points accumulator currently
(2021)"
485397,"Stable average travelers
(Loyal)"
799399,"Points accumulator currently
(2021)"
687748,"Gained customers
(Now traveling average)"
249224,"Formers Points accumulator
(2020)"
444684,"Points accumulator currently
(2021)"
181726,"Stable average travelers
(Loyal)"
164559,Low-travel individuals
530978,"Consistent low travelers
(Use points)"
372261,"Points accumulator currently
(2021)"
738427,"Stable average travelers
(Loyal)"
295929,"Growing travelers
(Now average)"
381717,Low-travel individuals
437022,"Consistent low travelers
(Use points)"
582861,"Gained customers
(Now traveling average)"
945014,"Growing travelers
(Now average)"
809728,"Gained customers
(Now traveling average)"
460207,"Formers Points accumulator
(2020)"
567256,"Stable average travelers
(Loyal)"
543956,"Gained customers
(Now traveling average)"
290599,"Consistent low travelers
(Use points)"
878909,"Stable average travelers
(Loyal)"
941194,Low-travel individuals
430228,"Stable average travelers
(Loyal)"
646168,"Points accumulator currently
(2021)"
866302,"Points accumulator currently
(2021)"
998192,Low-travel individuals
189146,"Lost custumers
(Traveled more before)"
513000,Low-travel individuals
917352,"Gained customers
(Now traveling average)"
277910,"Points accumulator currently
(2021)"
345014,"Stable average travelers
(Loyal)"
398305,"Gained customers
(Now traveling average)"
484194,"Stable average travelers
(Loyal)"
618309,"Formers Points accumulator
(2020)"
160686,"Formers Points accumulator
(2020)"
355995,"Growing travelers
(Now average)"
519203,"Formers Points accumulator
(2020)"
306402,"Formers Points accumulator
(2020)"
446315,"Consistent low travelers
(Use points)"
576716,"Consistent low travelers
(Use points)"
111646,"Consistent low travelers
(Use points)"
685982,"Points accumulator currently
(2021)"
166037,"Stable average travelers
(Loyal)"
236593,"Consistent low travelers
(Use points)"
784113,"Points accumulator currently
(2021)"
896790,"Points accumulator currently
(2021)"
990595,"Points accumulator currently
(2021)"
773261,"Points accumulator currently
(2021)"
756907,"Formers Points accumulator
(2020)"
455287,Low-travel individuals
633999,"Gained customers
(Now traveling average)"
285484,"Points accumulator currently
(2021)"
907743,Low-travel individuals
484733,"Gained customers
(Now traveling average)"
981848,"Stable average travelers
(Loyal)"
399575,"Stable average travelers
(Loyal)"
852310,"Stable average travelers
(Loyal)"
885007,"Formers Points accumulator
(2020)"
532813,"Stable average travelers
(Loyal)"
