Loyalty#,Value_Based_Cluster_Name
134470,New engaged
134717,New engaged
134738,Fly fanatics
134760,Fly fanatics
134847,New Low-Value Customers
134857,High-Value Frequent Flyers
135016,New engaged
135076,New engaged
135134,High-Value Frequent Flyers
135250,Long-tenure
135257,New Low-Value Customers
135279,New Low-Value Customers
135312,Fly fanatics
135381,Fly fanatics
135382,Fly fanatics
135392,Fly fanatics
135554,Long-tenure
135574,New engaged
135578,Long-tenure
135808,Long-tenure
135841,New engaged
135872,Lost Occasional Travelers
135878,Lost Occasional Travelers
135977,Fly fanatics
136020,Long-tenure
136022,Long-tenure
136049,New Low-Value Customers
136089,Fly fanatics
136106,High-Value Frequent Flyers
136121,High-Value Frequent Flyers
136169,Fly fanatics
136230,New Low-Value Customers
136232,Fly fanatics
136334,Fly fanatics
136430,Long-tenure
136470,Long-tenure
136473,New Low-Value Customers
136516,Long-tenure
136547,Long-tenure
136608,New Low-Value Customers
136637,Long-tenure
136715,New engaged
136772,Lost Occasional Travelers
136879,High-Value Low transactions
136906,Fly fanatics
137020,New Low-Value Customers
137040,New engaged
137106,Long-tenure
137161,New engaged
137185,Long-tenure
137209,New Low-Value Customers
137227,New engaged
137251,New Low-Value Customers
137529,Lost Occasional Travelers
137646,High-Value Frequent Flyers
137744,New Low-Value Customers
137751,New engaged
137845,Long-tenure
137850,High-Value Frequent Flyers
137852,New engaged
137858,New Low-Value Customers
137944,New engaged
137952,Long-tenure
137968,New Low-Value Customers
137973,New Low-Value Customers
137985,New engaged
137999,Long-tenure
138025,Lost Occasional Travelers
138065,Lost Occasional Travelers
138121,Fly fanatics
138204,Fly fanatics
138369,Long-tenure
138421,High-Value Frequent Flyers
138475,Long-tenure
138565,Fly fanatics
138653,New Low-Value Customers
138737,Fly fanatics
138746,Long-tenure
138759,New Low-Value Customers
138768,Fly fanatics
138810,New Low-Value Customers
138853,High-Value Low transactions
138873,Lost Occasional Travelers
138894,Fly fanatics
138896,Long-tenure
138908,Fly fanatics
138981,Fly fanatics
138993,Long-tenure
139022,High-Value Low transactions
139023,New Low-Value Customers
139087,High-Value Frequent Flyers
139135,New engaged
139479,Lost Occasional Travelers
139511,Long-tenure
139518,Fly fanatics
139532,New engaged
139600,New Low-Value Customers
139699,High-Value Low transactions
139863,New engaged
139932,Long-tenure
139974,New Low-Value Customers
140005,New engaged
140077,New Low-Value Customers
140079,Long-tenure
140130,High-Value Frequent Flyers
140191,New engaged
140208,Fly fanatics
140290,Fly fanatics
140381,Long-tenure
140391,Long-tenure
140392,Long-tenure
140419,New engaged
140483,Fly fanatics
140534,Long-tenure
140598,Long-tenure
140674,Long-tenure
140750,Long-tenure
140768,Long-tenure
140823,New engaged
140891,Fly fanatics
140977,New engaged
141023,Fly fanatics
141043,Lost Occasional Travelers
141047,Fly fanatics
141139,Fly fanatics
141181,New engaged
141233,Long-tenure
141266,Fly fanatics
141456,New Low-Value Customers
141497,New Low-Value Customers
141614,Long-tenure
141655,Long-tenure
141703,Fly fanatics
141742,New engaged
141844,Long-tenure
141877,Long-tenure
141945,High-Value Frequent Flyers
142190,New engaged
142224,New engaged
142290,New engaged
142354,Fly fanatics
142371,Long-tenure
142434,Lost Occasional Travelers
142511,New engaged
142545,Long-tenure
142609,New Low-Value Customers
142621,High-Value Frequent Flyers
142686,Fly fanatics
142715,New engaged
142717,Fly fanatics
142726,New Low-Value Customers
142749,Long-tenure
142812,Long-tenure
142855,New engaged
142906,Long-tenure
142925,New Low-Value Customers
142950,Long-tenure
143087,Fly fanatics
143151,High-Value Frequent Flyers
143266,New Low-Value Customers
143389,High-Value Frequent Flyers
143422,Long-tenure
143730,Long-tenure
143784,Long-tenure
143981,Fly fanatics
144328,Long-tenure
144355,Long-tenure
144402,New engaged
144514,New engaged
144523,Long-tenure
144565,New engaged
144593,Fly fanatics
144615,High-Value Frequent Flyers
144633,Long-tenure
144641,New Low-Value Customers
144756,New engaged
144830,Long-tenure
144879,New engaged
144936,Lost Occasional Travelers
144977,Long-tenure
145017,High-Value Low transactions
145177,Long-tenure
145193,New Low-Value Customers
145220,New engaged
145322,High-Value Frequent Flyers
145323,High-Value Frequent Flyers
145449,New Low-Value Customers
145480,Long-tenure
145552,Fly fanatics
145688,New Low-Value Customers
145988,New engaged
146028,Long-tenure
146037,New engaged
146067,Long-tenure
146086,New engaged
146090,New Low-Value Customers
146099,New Low-Value Customers
146215,New engaged
146354,New Low-Value Customers
146400,New engaged
146527,Fly fanatics
146560,New Low-Value Customers
146702,New engaged
146760,Long-tenure
146839,Fly fanatics
147064,Long-tenure
147241,New engaged
147272,Long-tenure
147408,New Low-Value Customers
147602,Fly fanatics
147700,New engaged
147754,Fly fanatics
147891,New engaged
147898,Long-tenure
147986,Lost Occasional Travelers
148201,Fly fanatics
148208,New engaged
148216,New Low-Value Customers
148234,Long-tenure
148258,New engaged
148289,New Low-Value Customers
148299,Long-tenure
148322,New Low-Value Customers
148368,Fly fanatics
148381,Long-tenure
148382,High-Value Low transactions
148453,New Low-Value Customers
148486,New engaged
148487,High-Value Frequent Flyers
148570,New engaged
148612,New engaged
148690,New engaged
148749,New Low-Value Customers
148753,High-Value Frequent Flyers
148767,Long-tenure
148865,New Low-Value Customers
148942,New engaged
148982,New Low-Value Customers
149174,High-Value Low transactions
149225,New engaged
149318,New engaged
149348,High-Value Frequent Flyers
149426,New engaged
149430,New Low-Value Customers
149462,High-Value Frequent Flyers
149549,New engaged
149655,New engaged
149782,Long-tenure
149841,High-Value Low transactions
149846,Fly fanatics
149884,New engaged
149912,New Low-Value Customers
149993,High-Value Frequent Flyers
150004,Long-tenure
150074,New engaged
150134,Long-tenure
150141,Reengaged Customers
150233,Lost Occasional Travelers
150253,Fly fanatics
150291,Long-tenure
150301,High-Value Frequent Flyers
150383,New Low-Value Customers
150656,New Low-Value Customers
150751,New Low-Value Customers
150754,High-Value Frequent Flyers
150767,New engaged
150883,New engaged
150909,Fly fanatics
151010,New Low-Value Customers
151030,New engaged
151036,High-Value Low transactions
151183,Long-tenure
151327,High-Value Frequent Flyers
151399,Long-tenure
151554,New engaged
151571,New Low-Value Customers
151627,New engaged
151655,High-Value Frequent Flyers
151967,New Low-Value Customers
152007,Lost Occasional Travelers
152014,Fly fanatics
152016,New Low-Value Customers
152139,New engaged
152148,Long-tenure
152276,Fly fanatics
152305,New engaged
152307,High-Value Low transactions
152338,Long-tenure
152355,High-Value Frequent Flyers
152406,Long-tenure
152423,Long-tenure
152499,Lost Occasional Travelers
152681,Long-tenure
152740,New Low-Value Customers
152778,Fly fanatics
153003,New engaged
153072,New engaged
153146,Fly fanatics
153193,Long-tenure
153261,Fly fanatics
153395,High-Value Frequent Flyers
153439,Reengaged Customers
153462,New Low-Value Customers
153582,New Low-Value Customers
153586,Fly fanatics
153600,New engaged
153626,Long-tenure
153645,Lost Occasional Travelers
153656,Lost Occasional Travelers
153760,Lost Occasional Travelers
153884,Fly fanatics
153953,New Low-Value Customers
153987,New Low-Value Customers
153998,New engaged
154136,Lost Occasional Travelers
154172,New engaged
154173,Reengaged Customers
154175,Long-tenure
154194,Reengaged Customers
154230,Fly fanatics
154480,Long-tenure
154606,New engaged
154643,New engaged
154644,Fly fanatics
154652,Long-tenure
154680,New engaged
154726,Lost Occasional Travelers
154736,New engaged
154782,New Low-Value Customers
154855,New Low-Value Customers
154864,New engaged
154868,New Low-Value Customers
154889,Lost Occasional Travelers
154981,High-Value Frequent Flyers
155020,High-Value Low transactions
155118,High-Value Frequent Flyers
155253,Lost Occasional Travelers
155354,Fly fanatics
155374,Fly fanatics
155488,Long-tenure
155654,New engaged
155763,New engaged
155791,New engaged
155795,New engaged
155820,Fly fanatics
155964,Fly fanatics
155965,New Low-Value Customers
156138,New engaged
156305,Long-tenure
156313,Fly fanatics
156355,New engaged
156457,Long-tenure
156666,New Low-Value Customers
156673,Long-tenure
156684,New engaged
156730,New Low-Value Customers
156750,New engaged
156868,High-Value Frequent Flyers
156870,New Low-Value Customers
156879,New Low-Value Customers
156945,New Low-Value Customers
156948,Fly fanatics
156959,New engaged
156980,High-Value Low transactions
157005,Fly fanatics
157092,Fly fanatics
157200,Long-tenure
157212,Fly fanatics
157300,New Low-Value Customers
157566,New Low-Value Customers
157672,New Low-Value Customers
157674,Long-tenure
157704,High-Value Frequent Flyers
157712,Long-tenure
157729,New Low-Value Customers
157731,Fly fanatics
157751,High-Value Frequent Flyers
157766,High-Value Frequent Flyers
157771,Lost Occasional Travelers
157816,New engaged
157879,New engaged
157902,New Low-Value Customers
157911,Long-tenure
158113,Long-tenure
158314,New Low-Value Customers
158400,Long-tenure
158401,New Low-Value Customers
158508,Fly fanatics
158560,New engaged
158680,New engaged
158901,New engaged
158969,High-Value Frequent Flyers
158995,New Low-Value Customers
159227,New engaged
159233,New engaged
159272,Fly fanatics
159275,Long-tenure
159344,Fly fanatics
159351,Long-tenure
159359,New Low-Value Customers
159397,High-Value Frequent Flyers
159486,Lost Occasional Travelers
159500,New engaged
159525,High-Value Frequent Flyers
159531,Long-tenure
159533,New Low-Value Customers
159608,Long-tenure
159680,Fly fanatics
159688,Fly fanatics
159745,High-Value Frequent Flyers
159751,Fly fanatics
159800,Lost Occasional Travelers
159856,Fly fanatics
159942,Lost Occasional Travelers
159960,Long-tenure
160135,Long-tenure
160143,High-Value Frequent Flyers
160154,High-Value Frequent Flyers
160181,High-Value Frequent Flyers
160203,High-Value Frequent Flyers
160250,Long-tenure
160266,New Low-Value Customers
160320,Long-tenure
160471,New Low-Value Customers
160640,High-Value Frequent Flyers
160686,Long-tenure
160707,Long-tenure
160740,High-Value Frequent Flyers
160773,Fly fanatics
160905,High-Value Frequent Flyers
160927,Fly fanatics
160993,New engaged
161045,New engaged
161103,Long-tenure
161180,Long-tenure
161241,Fly fanatics
161276,Long-tenure
161338,High-Value Frequent Flyers
161373,Lost Occasional Travelers
161414,New Low-Value Customers
161415,New engaged
161437,Long-tenure
161574,New engaged
161650,Lost Occasional Travelers
161728,New Low-Value Customers
161766,Long-tenure
161769,Fly fanatics
161780,New Low-Value Customers
161956,High-Value Low transactions
162013,Long-tenure
162166,Fly fanatics
162167,Long-tenure
162180,New engaged
162420,High-Value Frequent Flyers
162456,Long-tenure
162472,Reengaged Customers
162485,Lost Occasional Travelers
162489,Long-tenure
162496,New engaged
162658,Long-tenure
163002,New engaged
163058,Long-tenure
163083,New engaged
163260,New engaged
163301,New Low-Value Customers
163388,Long-tenure
163405,High-Value Low transactions
163445,New Low-Value Customers
163598,Long-tenure
163608,Long-tenure
163615,New engaged
163639,New engaged
163645,Long-tenure
163757,Fly fanatics
163776,Long-tenure
163970,Long-tenure
164013,Fly fanatics
164017,New Low-Value Customers
164034,New engaged
164094,New engaged
164192,High-Value Low transactions
164224,New Low-Value Customers
164226,Long-tenure
164298,Lost Occasional Travelers
164313,Fly fanatics
164363,Long-tenure
164374,New engaged
164388,Long-tenure
164429,Long-tenure
164500,New Low-Value Customers
164512,New engaged
164559,New Low-Value Customers
164657,Fly fanatics
164743,Fly fanatics
164794,New Low-Value Customers
164947,High-Value Frequent Flyers
164973,New engaged
164983,High-Value Frequent Flyers
165019,Long-tenure
165022,New Low-Value Customers
165056,New engaged
165138,Fly fanatics
165188,High-Value Frequent Flyers
165224,Lost Occasional Travelers
165260,New engaged
165265,Fly fanatics
165339,New Low-Value Customers
165443,New engaged
165484,New engaged
165550,Fly fanatics
165554,New engaged
165596,Fly fanatics
165742,High-Value Frequent Flyers
165759,Fly fanatics
165827,New engaged
165893,Long-tenure
165900,Long-tenure
166011,New Low-Value Customers
166037,Long-tenure
166175,New engaged
166239,Long-tenure
166273,High-Value Low transactions
166333,Long-tenure
166475,Long-tenure
166535,Long-tenure
166537,Fly fanatics
166577,Fly fanatics
166677,Lost Occasional Travelers
166693,Long-tenure
166705,Long-tenure
166712,Long-tenure
166825,High-Value Low transactions
166829,New engaged
166846,High-Value Frequent Flyers
166865,Long-tenure
166911,Long-tenure
166938,New engaged
166953,New engaged
166955,New engaged
166966,High-Value Low transactions
167001,Lost Occasional Travelers
167016,Long-tenure
167026,Long-tenure
167062,Long-tenure
167177,New Low-Value Customers
167257,High-Value Frequent Flyers
167335,Long-tenure
167363,Fly fanatics
167465,New engaged
167515,Long-tenure
167575,Lost Occasional Travelers
167578,High-Value Frequent Flyers
167587,Fly fanatics
167660,Long-tenure
167795,Fly fanatics
167879,High-Value Low transactions
167933,Fly fanatics
168026,Long-tenure
168123,New Low-Value Customers
168160,New engaged
168290,High-Value Frequent Flyers
168302,New Low-Value Customers
168316,Fly fanatics
168349,Long-tenure
168385,Long-tenure
168418,New engaged
168727,New Low-Value Customers
168843,Fly fanatics
168887,New engaged
169054,Long-tenure
169129,Fly fanatics
169131,New Low-Value Customers
169137,New engaged
169247,High-Value Low transactions
169253,New Low-Value Customers
169302,New Low-Value Customers
169393,Fly fanatics
169418,New Low-Value Customers
169525,Fly fanatics
169529,New Low-Value Customers
169603,New Low-Value Customers
169661,Long-tenure
169665,Long-tenure
169697,Long-tenure
169699,Lost Occasional Travelers
169857,Long-tenure
169932,Long-tenure
169948,Fly fanatics
169950,New Low-Value Customers
170027,Fly fanatics
170079,Long-tenure
170091,New Low-Value Customers
170152,High-Value Low transactions
170211,Long-tenure
170232,Lost Occasional Travelers
170311,Long-tenure
170321,Long-tenure
170368,New engaged
170404,Fly fanatics
170443,New engaged
170531,Fly fanatics
170544,New engaged
170566,New engaged
170585,Long-tenure
170656,Fly fanatics
170710,Long-tenure
170791,Fly fanatics
170799,New engaged
170801,New Low-Value Customers
170903,Lost Occasional Travelers
170965,New engaged
171047,New engaged
171137,New Low-Value Customers
171192,High-Value Low transactions
171257,New engaged
171264,Fly fanatics
171350,High-Value Frequent Flyers
171419,New engaged
171582,Lost Occasional Travelers
171638,High-Value Low transactions
171691,New Low-Value Customers
171788,New Low-Value Customers
171883,New engaged
171902,Lost Occasional Travelers
171906,New engaged
171908,New Low-Value Customers
171937,Fly fanatics
172059,New engaged
172135,New engaged
172162,New Low-Value Customers
172200,New Low-Value Customers
172233,New Low-Value Customers
172259,Lost Occasional Travelers
172284,New Low-Value Customers
172345,New engaged
172348,New engaged
172444,Fly fanatics
172491,Reengaged Customers
172532,New Low-Value Customers
172593,New engaged
172610,New engaged
172724,New Low-Value Customers
172755,New Low-Value Customers
172757,Long-tenure
172971,New Low-Value Customers
172983,New engaged
172987,Long-tenure
173092,High-Value Frequent Flyers
173212,Long-tenure
173227,New Low-Value Customers
173235,New Low-Value Customers
173252,Fly fanatics
173343,New engaged
173356,New engaged
173398,High-Value Frequent Flyers
173416,Long-tenure
173446,High-Value Frequent Flyers
173485,Fly fanatics
173506,New engaged
173531,New Low-Value Customers
173548,Long-tenure
173666,New engaged
173673,High-Value Low transactions
173798,New engaged
173834,New Low-Value Customers
173873,Fly fanatics
173884,New Low-Value Customers
173938,Fly fanatics
174044,Long-tenure
174343,Long-tenure
174439,Fly fanatics
174666,New Low-Value Customers
